t,sigma_base,D_plus,D_minus,z_dis,z_ch,frac_up,frac_dn,frac_sym,sigma_eff_est
0,0.0,0.039813700787600784,0.039813700787600784,0.03981370365363309,0.039813703653711445,1.0,1.0,1.0,0.0
1,0.0,0.039813700787600784,0.039813700787600784,5.007320358741279e-10,8.427671728916253e-10,1.2576877455965394e-08,2.116776778395062e-08,1.6872322619958006e-08,0.0
2,0.0,0.03984560891592719,0.03984560891592719,5.007320160564289e-10,8.427671950618458e-10,1.256680546940456e-08,2.115081731691074e-08,1.685881139315765e-08,0.0
3,0.0,0.0398795475793057,0.0398795475793057,4.165872802941479e-10,6.448954336574629e-10,1.0446138574308286e-08,1.6171081990712253e-08,1.3308610282510269e-08,0.0
4,0.0,0.0398795475793057,0.0398795475793057,3.8236545060410447e-10,5.664197124675273e-10,9.588008736651806e-09,1.4203263247686737e-08,1.1895635992169272e-08,0.0
5,0.0,0.03995349550347625,0.03995349550347625,3.8236542272622524e-10,5.664197317719276e-10,9.570262073639003e-09,1.4176975622136613e-08,1.1873618847887807e-08,0.0
6,0.0,0.040102260156836544,0.040102260156836544,3.823653669472263e-10,5.66419770540983e-10,9.534758526123657e-09,1.412438521733596e-08,1.1829571871729809e-08,0.0
7,0.0,0.04022347479941288,0.04022347479941288,3.8236508914698534e-10,5.66423721189493e-10,9.506018340130239e-09,1.4081919178145216e-08,1.1793968759137727e-08,0.0
8,0.0,0.04017350213148636,0.04017350213148636,3.614693341315282e-10,5.256945769978206e-10,8.997705326970316e-09,1.3085604916326238e-08,1.1041655121648278e-08,0.0
9,0.0,0.04019824126752549,0.04019824126752549,3.4461665107022133e-10,4.939854007471952e-10,8.57292857109704e-09,1.2288731675091112e-08,1.0430830123094075e-08,0.0
10,0.0,0.040329334052497695,0.040329334052497695,3.305612400695393e-10,4.682304367136359e-10,8.196545959306929e-09,1.1610170306906846e-08,9.903358133106888e-09,0.0
11,0.0,0.0404726658414405,0.0404726658414405,3.1859083450941565e-10,4.467725827639591e-10,7.871753142171482e-09,1.1038872124566173e-08,9.455312633368828e-09,0.0
12,0.0,0.040329334052497626,0.040329334052497626,3.031390616283561e-10,4.187682458152917e-10,7.51658981608159e-09,1.0383713385154621e-08,8.950151600618105e-09,0.0
13,0.0,0.04019824126752549,0.04019824126752549,2.9430461928893736e-10,4.036627330356662e-10,7.3213307351009405e-09,1.0041800842709225e-08,8.681565788905083e-09,0.0
14,0.0,0.04017350213148636,0.04017350213148636,2.864354363204583e-10,3.9038829767532987e-10,7.129959329484542e-09,9.717557020485883e-09,8.423758174985213e-09,0.0
15,0.0,0.04024920179729023,0.04024920179729023,2.793603539859967e-10,3.785959236266687e-10,6.940767555912241e-09,9.406296441191973e-09,8.173531998552107e-09,0.0
16,0.0,0.04019824126752542,0.04019824126752542,2.742836465261474e-10,3.704546790290296e-10,6.8232747970426854e-09,9.215693705692178e-09,8.019484251367432e-09,0.0
17,0.0,0.040173502131486294,0.040173502131486294,2.6837768561884544e-10,3.6077848339482194e-10,6.680465266395144e-09,8.980508650055157e-09,7.83048695822515e-09,0.0
18,0.0,0.04024920179729023,0.04024920179729023,2.6295903393926746e-10,3.5198018455402904e-10,6.533273262501596e-09,8.745022729313505e-09,7.639147995907551e-09,0.0
19,0.0,0.040385205135871585,0.040385205135871585,2.5796392282097653e-10,3.4393610517679814e-10,6.387584808671524e-09,8.516388712640258e-09,7.45198676065589e-09,0.0
20,0.0,0.04027542131551373,0.04027542131551373,2.692705684664912e-10,3.652501183044107e-10,6.685729401985687e-09,9.06880937242287e-09,7.877269387204278e-09,0.0
21,0.0,0.04014925830520476,0.04014925830520476,2.644301060752724e-10,3.572457494329967e-10,6.586176612906269e-09,8.89794144433012e-09,7.742059028618196e-09,0.0
22,0.0,0.04014925830520476,0.04014925830520476,2.5993093578079737e-10,3.4986312824123737e-10,6.474115506813762e-09,8.714062052695075e-09,7.594088779754419e-09,0.0
23,0.0,0.04022347479941288,0.04022347479941288,2.5573078040327833e-10,3.4302058432186197e-10,6.357749589724931e-09,8.527870504287433e-09,7.442810047006183e-09,0.0
24,0.0,0.04012551068647902,0.04012551068647902,4.3715837536050647e-10,7.77234015238046e-10,1.0894774119543217e-08,1.9370071606339665e-08,1.5132422862941442e-08,0.0
25,0.0,0.03991551159827296,0.03991551159827296,4.263880366521591e-10,7.46970544366817e-10,1.0682264101823709e-08,1.871379106660721e-08,1.469802758421546e-08,0.0
26,0.0,0.03984560891592719,0.03984560891592719,4.166483640428758e-10,7.203566099490177e-10,1.0456569127152477e-08,1.8078694981646392e-08,1.4267632054399435e-08,0.0
27,0.0,0.039879547579305626,0.039879547579305626,4.0779870691987845e-10,6.967731755471085e-10,1.0225760613480334e-08,1.7471942833892112e-08,1.3848851723686222e-08,0.0
28,0.0,0.03984560891592719,0.03984560891592719,9.772992824675633e-10,0.031471408523584925,2.4527151399031944e-08,0.7898337954876903,0.39491691000742085,0.0
29,0.0,0.03981388458119374,0.03981388458119374,9.774112159463827e-10,0.02958212931616482,2.4549506440475972e-08,0.7430103750825174,0.37150519981601193,0.0
30,0.0,0.03982940072259715,0.03982940072259715,9.774567592825533e-10,0.028577525792653134,2.454108627167957e-08,0.7174982619419558,0.358749143241521,0.0
31,0.0,0.03984560891592719,0.03984560891592719,9.774844586862062e-10,0.027826230321471405,2.4531798742206786e-08,0.698351238154843,0.34917563134332086,0.0
32,0.0,0.03983133619587399,0.03983133619587399,0.03983133227289519,0.039831335502679595,0.9999999015102384,0.9999999825967576,0.999999942053498,0.0
33,0.0,0.03999689981804509,0.03999689981804509,0.039996895894671224,0.03999689912482694,0.9999999019080507,0.999999982668203,0.9999999422881268,0.0
34,0.0,0.047100905779927954,0.047100905779927954,0.047100902023014125,0.04710090509034221,0.9999999202369091,0.9999999853593953,0.9999999527981522,0.0
35,0.0,0.04840648989775055,0.04840648989775055,0.04840648791080968,0.04840648920794825,0.9999999589530066,0.9999999857497972,0.9999999723514019,0.0
36,0.0,0.04603209770021592,0.04603209770021592,1.4821221947313315e-09,0.04603209493356436,3.219758100931341e-08,0.999999939897339,0.49999998604746004,0.0
37,0.0,0.051593508496834334,0.051593508496834334,1.4818505854949926e-09,0.04999999523847705,2.8721647910141945e-08,0.9691140745263513,0.48455705162399965,0.0
38,0.0,0.06080385292528722,0.06080385292528722,1.4818536587633004e-09,0.04999999523834659,2.4371048666671326e-08,0.8223162321602239,0.41115812826563625,0.0
39,0.0,0.06736200824609186,0.06736200824609186,1.481854325697257e-09,0.04999999523819705,2.19983691739658e-08,0.7422580849361465,0.37112905346725783,0.0
40,0.0,0.06397735965082554,0.06397735965082554,5.953619760852052e-10,1.5202444632155328e-09,9.305822861939925e-09,2.3762225754746604e-08,1.6534024308343265e-08,0.0
41,0.0,0.07309372767002745,0.07309372767002745,5.953619410358355e-10,1.520241305044004e-09,8.145185093357436e-09,2.079851929165447e-08,1.4471852192505953e-08,0.0
