period,cop_t,bus_0_voltage_pu,bus_1_voltage_pu,bus_2_voltage_pu,bus_3_voltage_pu,bus_4_voltage_pu,bus_5_voltage_pu,bus_6_voltage_pu,bus_7_voltage_pu,bus_8_voltage_pu,bus_9_voltage_pu,bus_10_voltage_pu,bus_11_voltage_pu,bus_12_voltage_pu,bus_13_voltage_pu,bus_14_voltage_pu,bus_15_voltage_pu,bus_16_voltage_pu,bus_17_voltage_pu,bus_18_voltage_pu,bus_19_voltage_pu,bus_20_voltage_pu,bus_21_voltage_pu,bus_22_voltage_pu,bus_23_voltage_pu,bus_24_voltage_pu,bus_25_voltage_pu,bus_26_voltage_pu,bus_27_voltage_pu,bus_28_voltage_pu,bus_29_voltage_pu,bus_30_voltage_pu,bus_31_voltage_pu,bus_32_voltage_pu,bus_33_voltage_pu,bus_34_voltage_pu,bus_35_voltage_pu,bus_36_voltage_pu,bus_37_voltage_pu,bus_38_voltage_pu,bus_39_voltage_pu,bus_40_voltage_pu,bus_41_voltage_pu,bus_42_voltage_pu,bus_43_voltage_pu,line_0_loading_pct,line_1_loading_pct,line_2_loading_pct,line_3_loading_pct,line_4_loading_pct,line_5_loading_pct,line_6_loading_pct,line_7_loading_pct,line_8_loading_pct,line_9_loading_pct,line_10_loading_pct,line_11_loading_pct,line_12_loading_pct,line_13_loading_pct,line_14_loading_pct,line_15_loading_pct,line_16_loading_pct,line_17_loading_pct,line_18_loading_pct,line_19_loading_pct,line_20_loading_pct,line_21_loading_pct,line_22_loading_pct,line_23_loading_pct,line_24_loading_pct,line_25_loading_pct,line_26_loading_pct,line_27_loading_pct,line_28_loading_pct,line_29_loading_pct,line_30_loading_pct,line_31_loading_pct,line_32_loading_pct,line_33_loading_pct,line_34_loading_pct,line_35_loading_pct,line_36_loading_pct,line_37_loading_pct,line_38_loading_pct,line_39_loading_pct,line_40_loading_pct,line_41_loading_pct,transformer_0_loading_pct,ext_grid_import_mw,ext_grid_export_mw,net_grid_power_mw,transformer_signed_p_mw,transformer_grid_mw,hp_elec_mw,gross_load_mw,bess_energy_bus_21_mwh,bess_total_capacity_mwh,bess_charge_bus_21_mw,bess_discharge_bus_21_mw
1,1.0,1.0,0.9927473602635513,0.9938331653791798,0.9934949074560773,0.9929285769037317,0.9907368793514921,0.9932481671935456,0.9906871142596915,0.9951732197889397,0.9957680175101875,0.993560639218896,0.992261686330016,0.993163721458629,0.9929492756986186,0.9957680175101875,0.9958572827784422,0.99172022542708,0.9908581036081073,0.9912244370766041,0.9957680175101875,0.9904951276528039,0.9960271354526244,0.9907232963666891,0.9919593666514127,0.9929641102769137,0.9905472406626553,0.990350265516894,0.9909139403737556,0.9906975012147776,0.9957680175101875,0.9929596641019337,0.9910169086220453,0.9947004349506596,0.9907218332987108,0.9957680175101875,0.9912350303074551,0.9894833028105395,0.9874492712940479,0.9863900301474943,0.9855007925216009,0.9853421092118038,0.9855849928510735,0.9853345457080855,0.9852290573714589,0.0,0.7984080800457803,0.21087241997430234,1.6435802366217271,10.800593748324795,7.5404030832541835,5.955412252072593,1.5968404108745966,0.3757363835686874,28.84903170548777,2.3181693120130245,7.912387545142846,1.2213284872923895,2.7226406526633173,1.265215617631374,0.0,0.8455795928021743,2.3475955170290472,6.796159970603245,10.43150298848557,5.581968872784299,1.0543510690722486,7.168114192297059,0.0,16.05131463765205,2.5282185055486024,2.487930251571653,0.0,11.165060023606763,1.9721851475083776,2.1080896355431964,5.207965995826918,0.5870728134972624,15.136299034870982,12.349411555854072,11.172776134185971,9.99482384634725,4.302290085832833,1.432075720116332,5.7032667650532245,2.4860301653940815,0.8056785046673194,26.07401756092187,0.13006375791639435,0.0,0.13006375791639435,-0.13006375791639435,0.13006375791639435,0.13166046009650112,0.18006375791639434,0.05,0.1,0.0,0.05
2,1.0,1.0,0.9926388478631902,0.9933855170048782,0.9931529091920426,0.9927634640316311,0.991256312419785,0.9929832347841837,0.9912220907552836,0.9943070242454953,0.9949134928063822,0.9931981105621772,0.9923048673598076,0.9929251644882329,0.9927776978487218,0.9949134928063822,0.9949859831415631,0.9919325241631938,0.9913396739828645,0.9915915883389097,0.9949134928063822,0.9910900684679348,0.9948942313478567,0.9912469718894646,0.9920969729856801,0.99278789905489,0.9911259047112685,0.9909904519850817,0.9913780709191851,0.9912292334908697,0.9949134928063822,0.992784841580203,0.9914488784816702,0.9939819071095373,0.9912459657902155,0.9949134928063822,0.9913249953409582,0.9899375650704472,0.9883265400096868,0.9874875834750163,0.9867832757547721,0.9866575929486135,0.986849965400338,0.9866516023855675,0.9865680518837461,0.0,0.5487488293554303,0.14503444343411304,1.1296819988827094,7.4336502481765265,5.187049688837658,4.09514468808532,1.0975091143960485,0.258241797820541,23.45751670285137,1.5947035668218077,5.443516354260683,0.8393733417718208,1.8715688614289252,0.8701977189590744,0.0,0.5811256330471356,1.6136536692956398,4.673985770315458,7.178555049343481,3.837986901383001,0.7251669990856593,4.930438712173316,0.0,7.685844430400504,1.7393484208880297,1.7102267182022945,0.0,7.6865532394280525,1.355565894377731,1.4500442285169477,3.5805644853797336,0.40349558839797284,11.998983568528743,9.780284034158267,8.845174002042187,7.9092280611429535,3.403778875064336,1.132780586627557,4.512168762787364,1.9665000611776278,0.6372741159043377,28.678795399583617,0.1431760209216627,0.0,0.1431760209216627,-0.1431760209216627,0.1431760209216627,0.10700672348660739,0.1431760209216627,0.05,0.1,0.0,0.0
3,1.0,1.0,0.9921862364312031,0.9930625753393764,0.9927895718558359,0.9923324939780803,0.9905636039513799,0.9925904310623758,0.9905234392058043,0.9941441154808244,0.9948768505191288,0.9928426230898297,0.9917942554407689,0.9925222760296986,0.9923491997009127,0.9948768505191288,0.9949409852916343,0.9913572495272144,0.9906614424411394,0.9909571053250115,0.9948768505191288,0.9903684893616362,0.9948332994878019,0.9905526413044916,0.9915502572377276,0.9923611724923089,0.9904105490807309,0.9902515730529988,0.9907065075541508,0.9905318223794959,0.9948768505191288,0.9923575840434506,0.9907896118617138,0.9937625371082272,0.9905514604817306,0.9948768505191288,0.9913004501541538,0.9899207709730964,0.9883187461479684,0.9874844765711122,0.9867841035726759,0.9866591229125595,0.9868504206464308,0.9866531658167017,0.9865700820824198,0.0,0.6444972920619779,0.17029524915660277,1.3267751432584936,8.726039529416381,6.090083001062498,4.808799555254667,1.2890103862980342,0.3033025745838898,20.739711278620828,1.872316773188593,6.390938400792498,0.9858540679871889,2.1979999586502608,1.0217591673140494,0.0,0.6825433402969049,1.895147872074841,5.488192630959727,8.427073556280927,4.5069918442482875,0.8514690517345975,5.789028802699075,0.0,9.021009119376558,2.0420749919692005,2.008517203594204,0.0,9.021985599173627,1.5920577493253214,1.7025386194036651,4.2048192743692905,0.4739003123854141,11.932489070656645,9.725885808059093,8.795908317971724,7.865103983598648,3.384773797996157,1.1264511912357533,4.486974965472966,1.9555130084853933,0.6337128833145131,26.635807230699026,0.13305927362197414,0.0,0.13305927362197414,-0.13305927362197414,0.13305927362197414,0.09453179647907098,0.13305927362197414,0.05,0.1,0.0,0.0
4,1.0,1.0,0.9927647169764441,0.9935042614359025,0.9932738731560006,0.9928881440632003,0.9913953736219511,0.9931058177734514,0.991361478498981,0.9944169756972802,0.9950217210518258,0.9933186432167632,0.9924339232994944,0.9930483015815644,0.9929022420618703,0.9950217210518258,0.9950894559991336,0.9920651329843485,0.9914779397528721,0.991727450353846,0.9950217210518258,0.9912307159621591,0.9949985796967763,0.9913861222185367,0.9922280126438177,0.9929123459286036,0.9912662102577252,0.991132050015153,0.9915159703074118,0.9913685530789164,0.9950217210518258,0.9929093176281978,0.9915861022274282,0.9940949608139154,0.9913851257194398,0.9950217210518258,0.9914080155354044,0.9900128341754397,0.988392808879047,0.9875491653865623,0.9868409229445101,0.9867145379923092,0.9869079851618868,0.9867085139620749,0.9866244966927141,0.0,0.5434364560188735,0.14363251278400918,1.1187465901016274,7.361904616501016,5.136929434559277,4.055541557369662,1.0868841469931203,0.25574172149678015,21.913521890331804,1.579295319232341,5.390930168991003,0.8312464076555514,1.8534564887358163,0.861786307085426,0.0,0.5754988891271099,1.5980350813248396,4.628799871922164,7.10924901774402,3.8008629774859437,0.7181574462252432,4.882787158962098,0.0,7.611714885381672,1.722545734470498,1.6936757569482466,0.0,7.612410086879942,1.342444415392252,1.436030697070754,3.545924860294094,0.39958935827333697,12.064763042101552,9.834099499637684,8.893912665496362,7.952880908912199,3.422581161812123,1.1390424949662996,4.537093734134315,1.9773699564730158,0.6407973821485945,27.25797457938369,0.13611500275094987,0.0,0.13611500275094987,-0.13611500275094987,0.13611500275094987,0.09995972223857508,0.1361150027509499,0.05,0.1,0.0,0.0
5,1.0,1.0,0.9930751195612797,0.9936716948881585,0.9934858453944145,0.9931746856572534,0.9919704984004176,0.9933502785687887,0.9919431559008468,0.9944079627377307,0.9948613897440322,0.9935219604829563,0.9928082750958365,0.9933038814380455,0.9931860582232396,0.9948613897440322,0.9949504387860153,0.992510779522725,0.9920371028025106,0.9922383778799343,0.9948613897440322,0.9918376724479585,0.9948771307392968,0.9919630354832862,0.9926421711988399,0.9931942088050227,0.9918663049672194,0.9917580806548836,0.9920677812697963,0.9919488628191847,0.9948613897440322,0.9931917659372799,0.9921243552493231,0.9941481999447757,0.9919622316279305,0.9948613897440322,0.9913712610204688,0.9900148348737773,0.9884398104838411,0.9876196016389341,0.9869310326871381,0.9868081584439515,0.9869962320567077,0.9868023017486481,0.9867206183028935,0.0,0.43812486467062606,0.1158322880940128,0.9019612193429734,5.938751083540172,4.142971332219818,3.2702885110258992,0.8762570317938305,0.2061809038558015,28.839048028872945,1.2737243868093602,4.348019886021119,0.6701437122063022,1.4943753972210092,0.6949880251445727,0.0,0.4639590401648427,1.2884027089993513,3.732790679362999,5.734578057267084,3.064798847814774,0.5791581121220074,3.9378306441908357,0.0,6.1410719982792665,1.3893081292611846,1.365549931943335,0.0,6.141524506412222,1.0823199927714036,1.158131387377518,2.859140402316197,0.3221530594496126,11.731268113851014,9.56128329798072,8.646840942917848,7.7315988848438915,3.32727171703077,1.1073011732578601,4.41074818839645,1.9222708797553538,0.6229381632687938,32.982536446590565,0.16446830975724283,0.0,0.16446830975724283,-0.16446830975724283,0.16446830975724283,0.13165923460276072,0.16446830975724283,0.05,0.1,0.0,0.0
6,1.0,1.0,0.9930222282425509,0.9936050290819513,0.9934234707169367,0.993119495430272,0.9919431119754776,0.9932910340300509,0.9919164007942012,0.99432429704598,0.9947650024473347,0.9934587519345278,0.9927615450204283,0.9932457081750843,0.9931306054120367,0.9947650024473347,0.9948542477195167,0.9924709184022706,0.9920081785306946,0.9922048063139564,0.9947650024473347,0.991813352877004,0.9947826323019201,0.9919358213716382,0.9925992763407904,0.9931385678028545,0.9918413242923602,0.9917355988001532,0.9920381486546338,0.9919219759439734,0.9947650024473347,0.9931361813391391,0.9920934163823973,0.9940705319857133,0.9919350360767141,0.9947650024473347,0.9910705451750437,0.989636608835801,0.987971582904657,0.9871045049060877,0.9863765890925633,0.986246693452545,0.9864455141464998,0.9862405020883901,0.9861541510095143,0.0,0.42802069918530206,0.11316412369705532,0.88116128674181,5.80211783749639,4.047567278775564,3.1949303246800156,0.856048367883143,0.20142579742049707,28.90643702858384,1.244394192564772,4.247912284547057,0.6546870732165051,1.4599207587102905,0.6789792984889232,0.0,0.4532576793896689,1.2586936855199495,3.646797504708157,5.602608553376929,2.994164272751433,0.5658174417059184,3.8471343269922547,0.0,5.999859204313143,1.357321085003202,1.334065520890437,0.0,6.000291140304471,1.0573615995368184,1.1314584631071907,2.7932371256358106,0.31472341550275146,12.402826486405539,10.110710153325103,9.144440498575769,8.177278866571868,3.519237312533537,1.1712336118321156,4.665224520540996,2.033249609790466,0.6589098141888794,33.23150009806387,0.16572749506965637,0.0,0.16572749506965637,-0.16572749506965637,0.16572749506965637,0.13195921292256335,0.16572749506965637,0.05,0.1,0.0,0.0
7,1.0,1.0,0.992907181995147,0.9934928327685401,0.9933103865713174,0.9930049248257394,0.9918227887793739,0.9931773022604231,0.9917959469786846,0.9942156179996728,0.9946596676636799,0.9933458403163563,0.9926452240151212,0.993131754759079,0.9930160891360372,0.9946596676636799,0.9947481601664555,0.9923531762139068,0.9918881735142759,0.9920857628201807,0.9946596676636799,0.9916923951504731,0.994676194544811,0.9918154625240078,0.9924821618310906,0.9930240904634637,0.9917205033478689,0.9916142608511317,0.9919182901940696,0.9918015493913016,0.9946596676636799,0.9930216923297857,0.9919738281846149,0.9939606120117641,0.9918146733889405,0.9946596676636799,0.9907599334604947,0.989248487162696,0.9874934599620495,0.986579512951311,0.9858122503948423,0.9856753333791891,0.9858849011218983,0.985668807347193,0.9855777886492871,0.0,0.43016592757249744,0.11373061771146455,0.8855773526063074,5.8311279096854225,4.067823197485885,3.210929963537792,0.860338894694917,0.20243535979179916,28.66513527165422,1.2506215005318448,4.269166919374959,0.6579686858845372,1.4672359032620799,0.6823782079374614,0.0,0.4555296935507022,1.265001264325985,3.665055195290228,5.6306282836926975,3.009160974691673,0.5686498798928445,3.8663906484763246,0.0,6.029841905766809,1.364112506782532,1.3407500495325912,0.0,6.030278169672134,1.062660557587362,1.1371215689064456,2.8072292735486406,0.3163008125620572,13.074642786334126,10.660575357917834,9.642515513709618,8.623466566377195,3.7114400080355083,1.2352501713279849,4.920015160767624,2.1443735150250767,0.6949293387827516,33.25732554774726,0.16588658190628858,0.0,0.16588658190628858,-0.16588658190628858,0.16588658190628858,0.13084108818862478,0.16588658190628858,0.05,0.1,0.0,0.0
8,1.0,1.0,0.9930594297269211,0.9935652838149401,0.9934076964627133,0.9931438548018565,0.9921227883595053,0.9932927452908279,0.9920996038351687,0.994189587376959,0.9945497234136088,0.9934383195279909,0.9928331643122652,0.9932534037740047,0.9931534979411822,0.9945497234136088,0.9946495690663004,0.9925809089053692,0.9921792642269452,0.9923499313935943,0.9945497234136088,0.9920101612560713,0.9945874089777978,0.9921164603285435,0.9926923198429319,0.9931604090635988,0.9920344396267412,0.9919426729908253,0.9922052774182246,0.9921044429021586,0.9945497234136088,0.993158337682872,0.992253248189944,0.993969326724513,0.9921157787155108,0.9945497234136088,0.9906613423603395,0.9891498960625409,0.9873948688618944,0.9864809218511559,0.9857136592946872,0.985576742279034,0.9857863100217432,0.9855702162470379,0.985479197549132,0.0,0.37144217048137196,0.09822088647294326,0.7646903509613089,5.036751006161678,3.5132258360864075,2.772906063328715,0.7428895896997088,0.17479954775932147,32.35665979891932,1.0801199889251194,3.6872111501950933,0.5681386182997075,1.266983216159289,0.5893212178894307,0.0,0.39333636199037714,1.092333334922692,3.165195027598311,4.8633955461352505,2.598603456158663,0.4911020391727105,3.339174237338142,0.0,5.2087739980112815,1.1781621426658877,1.1577605251110745,0.0,5.209099537878149,0.9176043631847353,0.9820711712026672,2.424179493790863,0.27312098504148,13.075938763788422,10.66163630357896,9.643476607894172,8.62432761709028,3.7118109376150334,1.2353737210751246,4.920506878039328,2.144587979500633,0.6949988557455324,36.361280711021685,0.1812475696941183,0.0,0.1812475696941183,-0.1812475696941183,0.1812475696941183,0.1477285053829821,0.1812475696941183,0.05,0.1,0.0,0.0
9,1.0,1.0,0.9926886010119822,0.9932110792159676,0.9930483129979764,0.9927758005870541,0.9917211783677523,0.9929295841327657,0.9916972319197103,0.9938558995535924,0.9942155592158092,0.9930799424431577,0.9924548997327529,0.9928889497175485,0.9927857606333105,0.9942155592158092,0.994330997833127,0.9921943543401937,0.9917795102276452,0.9919557861080265,0.9942155592158092,0.9916048499479254,0.9942667949489957,0.9917146423757934,0.9923094266267299,0.9927928988791274,0.9916299261898768,0.9915351437847233,0.9918063783024151,0.9917022300151881,0.9942155592158092,0.9927907594256612,0.9918559255597079,0.9936284003738404,0.9917139383625975,0.9942155592158092,0.9904245805447857,0.9889441381368113,0.9872251113352837,0.9863299118728157,0.9855783879660112,0.9854442794921331,0.9856495484283182,0.9854378873268693,0.9853487356709391,0.0,0.38380440918848224,0.10148634230964387,0.7901390732889412,5.204022743038953,3.629995813054881,2.8651249514948045,0.7676144223032467,0.18061729058817655,37.426126247819845,1.1160190671607852,3.8097438373184738,0.5870489954527854,1.3091406387659792,0.6089136756972682,0.0,0.4064288130460996,1.1286831411182447,3.270435537713492,5.024947085697437,2.6850382099657644,0.5074291565831047,3.450177030837919,0.0,5.3816760073831915,1.2173145989064937,1.1962836871482219,0.0,5.382023518858873,0.9481412020675135,1.0147164225323424,2.504821909009038,0.2822109843300219,12.81181899446655,10.44543342940843,9.44762782336646,8.448871682590239,3.6362281939116303,1.2101989113385785,4.820311739735048,2.1008880888799415,0.6808339449554884,40.98855500590087,0.20418808242473963,0.0,0.20418808242473963,-0.20418808242473963,0.20418808242473963,0.1708400923050814,0.20418808242473963,0.05,0.1,0.0,0.0
10,1.0,1.0,0.9923480192000951,0.993006816975815,0.9928015834913231,0.9924579699801713,0.991128186714571,0.9926518771270807,0.9910979924086916,0.9938198771205745,0.9943093385992555,0.9928414653619423,0.9920533430169267,0.9926006408034245,0.99247052869797,0.9943093385992555,0.994418933095385,0.991724818833941,0.9912017379158612,0.9914240058631602,0.9943093385992555,0.9909815070949229,0.9943379790633547,0.9911199454196581,0.991869914583082,0.9924795293805455,0.9910131259687724,0.9908936139255596,0.9912356161288876,0.9911042945551899,0.9943093385992555,0.9924768317231619,0.9912980907405528,0.9935330212240883,0.9911190577226708,0.9943093385992555,0.9908806600386483,0.9895397358368689,0.9879827116464922,0.9871718765757205,0.9864911769487564,0.9863697069764575,0.9865556311859516,0.9863639172145203,0.9862831672897534,0.0,0.4842322013024001,0.12800574655491162,0.9968746720947099,6.562040002823388,4.578234009612454,3.614125825313198,0.9684733229293765,0.22787947035135497,35.517004214256694,1.4075371439564144,4.80473065690894,0.7406764111500246,1.6515933875781916,0.7680275141132118,0.0,0.5127923379000571,1.4239682531912916,4.125138813925797,6.336612204195761,3.3870906214467804,0.6400246680779369,4.351624888267936,0.0,6.7852068041078,1.5352393814975298,1.5092146472697263,0.0,6.785759221757047,1.196208721381659,1.2798236107447336,3.1598492889972816,0.35605604982200184,11.603395638916892,9.45669181297992,8.552124424335362,7.646774354364684,3.290737736850994,1.095134438241508,4.362317461783996,1.9011508511620479,0.6160925989377503,39.30242080185609,0.19583977024410784,0.0,0.19583977024410784,-0.19583977024410784,0.19583977024410784,0.162084981256369,0.19583977024410784,0.05,0.1,0.0,0.0
