period,cop_t,bus_0_voltage_pu,bus_1_voltage_pu,bus_2_voltage_pu,bus_3_voltage_pu,bus_4_voltage_pu,bus_5_voltage_pu,bus_6_voltage_pu,bus_7_voltage_pu,bus_8_voltage_pu,bus_9_voltage_pu,bus_10_voltage_pu,bus_11_voltage_pu,bus_12_voltage_pu,bus_13_voltage_pu,bus_14_voltage_pu,bus_15_voltage_pu,bus_16_voltage_pu,bus_17_voltage_pu,bus_18_voltage_pu,bus_19_voltage_pu,bus_20_voltage_pu,bus_21_voltage_pu,bus_22_voltage_pu,bus_23_voltage_pu,bus_24_voltage_pu,bus_25_voltage_pu,bus_26_voltage_pu,bus_27_voltage_pu,bus_28_voltage_pu,bus_29_voltage_pu,bus_30_voltage_pu,bus_31_voltage_pu,bus_32_voltage_pu,bus_33_voltage_pu,bus_34_voltage_pu,bus_35_voltage_pu,bus_36_voltage_pu,bus_37_voltage_pu,bus_38_voltage_pu,bus_39_voltage_pu,bus_40_voltage_pu,bus_41_voltage_pu,bus_42_voltage_pu,bus_43_voltage_pu,line_0_loading_pct,line_1_loading_pct,line_2_loading_pct,line_3_loading_pct,line_4_loading_pct,line_5_loading_pct,line_6_loading_pct,line_7_loading_pct,line_8_loading_pct,line_9_loading_pct,line_10_loading_pct,line_11_loading_pct,line_12_loading_pct,line_13_loading_pct,line_14_loading_pct,line_15_loading_pct,line_16_loading_pct,line_17_loading_pct,line_18_loading_pct,line_19_loading_pct,line_20_loading_pct,line_21_loading_pct,line_22_loading_pct,line_23_loading_pct,line_24_loading_pct,line_25_loading_pct,line_26_loading_pct,line_27_loading_pct,line_28_loading_pct,line_29_loading_pct,line_30_loading_pct,line_31_loading_pct,line_32_loading_pct,line_33_loading_pct,line_34_loading_pct,line_35_loading_pct,line_36_loading_pct,line_37_loading_pct,line_38_loading_pct,line_39_loading_pct,line_40_loading_pct,line_41_loading_pct,transformer_0_loading_pct,ext_grid_import_mw,ext_grid_export_mw,net_grid_power_mw,transformer_signed_p_mw,transformer_grid_mw,hp_elec_mw,gross_load_mw,bess_energy_bus_21_mwh,bess_total_capacity_mwh,bess_charge_bus_21_mw,bess_discharge_bus_21_mw,y_cap_mw,gamma0_mw,gamma_plus,chi0_mw,chi_minus,lambda0_mw,lambda_plus,lambda_minus,rho_plus0_mw,rho_plus1,rho_minus0_mw,rho_minus1,D_plus_max_mw,D_minus_max_mw
1,1.0,1.0,0.9917116809559048,0.9927974860715333,0.9924592281484307,0.9918928975960852,0.9897012000438457,0.992212487885899,0.9896514349520449,0.9941375404812932,0.9947080952542948,0.9925249599112496,0.9912260070223694,0.9921280421509824,0.9919135963909721,0.9947080952542948,0.9948216034710031,0.9906845461194335,0.9898224243004609,0.9901887577689577,0.9947080952542948,0.9894594483451574,0.994991456144978,0.9896876170590426,0.9909236873437662,0.9919284309692672,0.989511561355009,0.9893145862092476,0.9898782610661092,0.989661821907131,0.9947080952542948,0.9919239847942872,0.9899812293143988,0.9936647556430132,0.9896861539910643,0.9947080952542948,0.9901993510000159,0.9884476235031003,0.9864135919866086,0.9853543508400551,0.9844651132141616,0.9843064299043645,0.9845493135436343,0.9842988664006462,0.9841933780640196,0.0,0.7992435794142003,0.21109259661339208,1.6452999612912595,10.8118456636785,7.548271859344072,5.961634745423533,1.5985114603931607,0.37612959101488563,35.831433217105705,2.3205882738377097,7.9206416918037235,1.222606799432973,2.7254883749425254,1.266536637973146,0.0,0.8464646713050863,2.3500514788470253,6.803257438938219,10.44237556068004,5.587802954390488,1.0554519292207807,7.1755969639035495,0.0,16.068025167740313,2.5308559251917226,2.4905324805509292,0.0,11.176681652680728,1.9742485844262894,2.1102900763165717,5.213410496438069,0.5876871681224397,15.152056987499805,12.362328177132941,11.184482786894405,10.005317854462364,4.3068121065786675,1.4335822957888498,5.709261314494586,2.488645301034877,0.8065262396228454,32.59252195967445,0.13006375795906502,8.501965166708417e-12,0.13006375795056305,-0.1300637579505631,0.13006375795056305,0.13166046009650112,0.18006375791639434,0.05,0.1,1.612612162723974e-11,0.0499999999819574,0.0023290338740018946,0.0023290338740018946,0.0,0.0,0.0,0.0,1.13732433505607e-07,2.892874314750503e-07,0.0,0.0,0.002329033392708431,0.0,0.0023290340534006795,0.0023290340534006795
2,1.0,1.0,0.9913853436244179,0.9921320127661059,0.9918994049532702,0.9915099597928587,0.9900028081810126,0.9917297305454114,0.9899685865165113,0.993053520006723,0.9936402795520586,0.9919446063234049,0.9910513631210353,0.9916716602494605,0.9915241936099495,0.9936402795520586,0.9937324789050093,0.9906790199244214,0.9900861697440922,0.9903380841001374,0.9936402795520586,0.9898365642291626,0.9936407271090844,0.9899934676506923,0.9908434687469078,0.9915343948161176,0.9898724004724961,0.9897369477463094,0.9901245666804127,0.9899757292520973,0.9936402795520586,0.9915313373414306,0.9901953742428978,0.992728402870765,0.9899924615514432,0.9936402795520586,0.9900714911044044,0.9886840608338934,0.9870730357731331,0.9862340792384626,0.9855297715182183,0.9854040887120598,0.9855964611637842,0.9853980981490137,0.9853145476471923,0.0,0.5494436344387433,0.14521779880837854,1.1311122392166697,7.4430335411289335,5.193604777729951,4.100324319954989,1.0988987535907058,0.25856878279464823,29.141409609638323,1.5967187677391308,5.450393937824254,0.8404362646710967,1.8739377691167343,0.8712978285820868,0.0,0.5818615559970531,1.6156964194104027,4.679895541942334,7.187619310179165,3.8428422927752663,0.726083762755085,4.9366709421264865,0.0,7.695539625407401,1.7415459919675136,1.7123914097101198,0.0,7.696250031039248,1.3572820497502156,1.45187702280643,3.585094966665149,0.4040064841229548,12.014119208207205,9.792666602065399,8.856388366189277,7.919272151623804,3.4081050805058273,1.134221380508635,4.517903732587401,1.9690011011620434,0.6380847789304108,35.848494340777656,0.14317602129591323,8.502056684684297e-12,0.14317602128741116,-0.1431760212874112,0.14317602128741116,0.10700672348660739,0.1431760209216627,0.050000000337450175,0.1,4.63290890486388e-10,9.754238104180618e-11,0.0023290338740018946,0.0023290338740018946,0.0,0.0,0.0,0.0,1.13732433505607e-07,2.892874314750503e-07,0.0,0.0,0.002329033392708431,0.0,0.0023290340534006795,0.0023290340534006795
3,1.0,1.0,0.9909214827297823,0.9917978216379556,0.9915248181544151,0.9910677402766594,0.989298850249959,0.9913256773609549,0.9892586855043836,0.9928793617794035,0.9935946944616084,0.9915778693884089,0.9905295017393481,0.9912575223282777,0.9910844459994917,0.9935946944616084,0.9936762315924472,0.9900924958257935,0.9893966887397185,0.9896923516235906,0.9935946944616084,0.9891037356602154,0.9935685457863811,0.9892878876030708,0.9902855035363067,0.991096418790888,0.98914579537931,0.988986819351578,0.98944175385273,0.989267068678075,0.9935946944616084,0.9910928303420297,0.9895248581602929,0.9924977834068064,0.9892867067803097,0.9935946944616084,0.9900356964549667,0.9886560172739094,0.9870539924487813,0.986219722871925,0.9855193498734888,0.9853943692133725,0.9855856669472437,0.9853884121175146,0.9853053283832327,0.0,0.6453212395834829,0.17051256822318142,1.3284711705370233,8.73715496923557,6.097851293773405,4.814939652067755,1.2906583217712058,0.3036903394918717,25.76535726100473,1.8747049059235272,6.399088209979017,0.9871146127798498,2.2008088401970016,1.0230630502303026,0.0,0.6834160993260116,1.8975701409710488,5.495197436148726,8.437812293082803,4.512747996991038,0.8525556286947545,5.796415072604648,0.0,9.032491277471133,2.0446790730110473,2.011083940180019,0.0,9.033470050577721,1.5940927967886962,1.7047107532138526,4.210190551056555,0.47450616956986436,11.947676773867014,9.738310461127321,8.807160621491345,7.875181871367551,3.389114519523669,1.1278968080176581,4.492729178306203,1.9580224223235136,0.6345262587343359,33.2947591303576,0.13305927399874262,8.502038534386202e-12,0.1330592739902406,-0.1330592739902406,0.1330592739902406,0.09453179647907098,0.13305927362197414,0.05000000067718985,0.1,4.668074393715158e-10,9.854101430018827e-11,0.0024843028081015595,0.0024843028081015595,0.0,0.0,0.0,0.0,1.076449212015966e-07,2.7158647280767553e-07,0.0,0.0,0.002484302328659185,0.0,0.0024843029902940584,0.0024843029902940584
4,1.0,1.0,0.9915370809519074,0.992276625411366,0.9920462371314639,0.9916605080386637,0.9901677375974144,0.9918781817489148,0.9901338424744445,0.9931893396727436,0.9937756757024051,0.9920910071922266,0.9912062872749579,0.9918206655570279,0.9916746060373337,0.9937756757024051,0.99386181997683,0.9908374969598119,0.9902503037283354,0.9904998143293094,0.9937756757024051,0.9900030799376225,0.9937709436722398,0.9901584861940002,0.991000376619281,0.9916847099040669,0.9900385742331886,0.9899044139906165,0.9902883342828751,0.9901409170543797,0.9937756757024051,0.9916816816036612,0.9903584662028916,0.9928673247893788,0.9901574896949032,0.9937756757024051,0.9901803795131008,0.988785198153136,0.9871651728567434,0.9863215293642588,0.9856132869222065,0.9854869019700057,0.9856803491395832,0.9854808779397713,0.9853968606704105,0.0,0.5441102228415272,0.14381032155910017,1.1201335259209504,7.371004330881151,5.143286274990025,4.060564456213978,1.088231708514629,0.2560588054036047,27.22258372423686,1.5812495752564517,5.397599780984001,0.8322771432873374,1.8557536824581833,0.8628531380100785,0.0,0.5762125264709632,1.6000159857157814,4.634530854234684,7.118039286074622,3.805571428083517,0.719046477422078,4.888830877977692,0.0,7.621117206765058,1.7246768530954792,1.6957749167290301,0.0,7.6218139328222145,1.3441086106253168,1.4378080554686934,3.5503182195605256,0.4000847843067221,12.079665654731732,9.846291919364894,8.904954990551166,7.962771090771651,3.4268411153854843,1.1404612355781696,4.542740878132257,1.9798327128728022,0.6415956380731215,34.072468316142604,0.1361150031275763,8.502156588086176e-12,0.13611500311907415,-0.13611500311907418,0.13611500311907415,0.09995972223857508,0.1361150027509499,0.05000000101675563,0.1,4.670438839834599e-10,9.891961255219508e-11,0.0026395717432024374,0.0026395717432024374,0.0,0.0,0.0,0.0,1.0194379960626522e-07,2.557608137249935e-07,0.0,0.0,0.0026395712651569887,0.0,0.002639571927187437,0.002639571927187437
5,1.0,1.0,0.9918127289162343,0.9924093042431132,0.9922234547493691,0.991912295012208,0.9907081077553723,0.9920878879237433,0.9906807652558014,0.9931455720926853,0.9935747361657271,0.9922595698379109,0.9915458844507911,0.9920414907930002,0.9919236675781943,0.9935747361657271,0.993688048172328,0.9912483888776797,0.9907747121574653,0.9909759872348889,0.9935747361657271,0.9905752818029131,0.9936147400942514,0.9907006448382408,0.9913797805537946,0.9919318181599774,0.990603914322174,0.9904956900098382,0.990805390624751,0.9906864721741393,0.9935747361657271,0.9919293752922346,0.9908619646042777,0.9928858092997305,0.9906998409828852,0.9935747361657271,0.9901088704067816,0.9887524442600902,0.9871774198701541,0.9863572110252471,0.985668642073451,0.9855457678302645,0.9857338414430206,0.9855399111349611,0.9854582276892063,0.0,0.43868313680567006,0.1159797042729624,0.9031104487202681,5.94629984982558,4.148242370943455,3.274452092043842,0.877373594685871,0.20644363162238077,35.827239324724516,1.2753448677794121,4.353550768898896,0.6709977196868845,1.4962790614327945,0.6958725076919603,0.0,0.46455031027095955,1.2900441763126531,3.737541818258635,5.741869205579377,3.068701462605108,0.5798951845396174,3.942841604531845,0.0,6.14887639937859,1.3910753936126632,1.367289487171346,0.0,6.14932733256844,1.0836989826787542,1.1596050614813507,2.8627816209423793,0.32256355984712504,11.746171626860766,9.573473951605726,8.657880805228938,7.741485960525083,3.3315301302484315,1.1087193441806003,4.416393290444805,1.9247326565692808,0.6237360926893407,41.22817184722009,0.16446831493585146,8.750484665128735e-12,0.16446831492710098,-0.16446831492710104,0.16446831492710098,0.13165923460276072,0.16446830975724283,0.05000000591946024,0.1,5.254244255667803e-09,8.4386059735053e-11,0.0026395717669174734,0.0026395717669174734,0.0,0.0,0.0,0.0,9.388469084176885e-08,1.0393142468182295e-07,0.0,0.0,0.002639571666302463,0.0,0.002639571927187437,0.002639571927187437
6,1.0,1.0,0.9917357898400324,0.9923185906794326,0.9921370323144181,0.9918330570277534,0.990656673572959,0.9920045956275324,0.9906299623916827,0.9930378586434614,0.9934542452027169,0.9921723135320092,0.9914751066179098,0.9919592697725657,0.991844167009518,0.9934542452027169,0.9935678093475161,0.991184479999752,0.990721740128176,0.9909183679114378,0.9934542452027169,0.9905269144744853,0.9934961938994015,0.9906493829691196,0.9913128379382719,0.9918521294003357,0.9905548858898415,0.9904491603976345,0.9907517102521152,0.9906355375414548,0.9934542452027169,0.9918497429366203,0.9908069779798786,0.9927840935831947,0.9906485976741954,0.9934542452027169,0.989784106803043,0.9883501704638004,0.9866851445326563,0.9858180665340871,0.9850901507205627,0.9849602550805444,0.9851590757744991,0.9849540637163895,0.9848677126375136,0.0,0.42857651461479795,0.11331089945009541,0.8823054624191609,5.809634234919839,4.052815491285129,3.1990757450093867,0.8571600168547799,0.20168736877670215,35.91183140385586,1.2460076587493782,4.2534192633991115,0.6555373184725886,1.4618160693528786,0.679859938876941,0.0,0.45384634394434453,1.2603279411621153,3.65152797869561,5.609868350188671,2.998049835165743,0.5665513122251267,3.8521235452885105,0.0,6.007630274301848,1.3590807113819647,1.3357974426845265,0.0,6.008060676812591,1.0587345273379185,1.1329257462470181,2.7968624119253613,0.3151321093300883,12.418885251356727,10.12385120642953,9.156342918891355,8.187940388508016,3.5238297237224865,1.1727631366778728,4.6713123820247295,2.035904663560167,0.6597704095200585,41.53937637715943,0.16572750010974607,8.750515694875467e-12,0.16572750010099555,-0.16572750010099555,0.16572750010099555,0.13195921292256335,0.16572749506965637,0.050000010690551135,0.1,5.115926654979794e-09,8.45874557064399e-11,0.002950109642834753,0.002950109642834753,0.0,0.0,0.0,0.0,8.323856114112138e-08,9.310430610324098e-08,0.0,0.0,0.0029501095397571377,0.0,0.002950109800974194,0.002950109800974194
7,1.0,1.0,0.9915942217089921,0.9921798724823852,0.9919974262851625,0.9916919645395844,0.9905098284932189,0.9918643419742682,0.9904829866925297,0.9929026577135179,0.9933225949173745,0.9920328800302013,0.9913322637289662,0.991818794472924,0.9917031288498822,0.9933225949173745,0.9934351999103936,0.9910402159277519,0.990575213228121,0.9907728025340258,0.9933225949173745,0.9903794348643181,0.9933632342586561,0.9905025022378529,0.9911692015449357,0.9917111301773087,0.9904075430617139,0.9903013005649768,0.9906053299079147,0.9904885891051467,0.9933225949173745,0.9917087320436305,0.9906608678984599,0.9926476517256092,0.9905017131027856,0.9933225949173745,0.9894469732044328,0.9879355269066341,0.9861804997059876,0.9852665526952491,0.9844992901387805,0.9843623731231271,0.9845719408658363,0.9843558470911311,0.9842648283932253,0.0,0.4307361296675325,0.11388119078119784,0.8867511432269114,5.8388386749950225,4.073207173459895,3.21518264821073,0.861479317559841,0.20270370168977117,35.613006496961674,1.2522767041004603,4.274816345225618,0.6588409396957606,1.469180266759419,0.683281631787307,0.0,0.45613359582869983,1.2666778183070857,3.669908059307212,5.638075831984114,3.013147084074672,0.5694027367397209,3.8715089396404974,0.0,6.0378137814797235,1.3659176487703164,1.3425267954870561,0.0,6.038248583190765,1.0640690207438295,1.1386268104977832,2.8109483764579517,0.3167200850065329,13.0919227119319,10.674721554864972,9.655330357687951,8.634947495958043,3.716385850569165,1.2368975411102612,4.92657154324873,2.1472331102283517,0.6958562541917365,41.57165817201797,0.16588658687631036,8.750536676065204e-12,0.16588658686755983,-0.1658865868675598,0.16588658686755983,0.13084108818862478,0.16588658190628858,0.050000015395061354,0.1,5.0460156528325445e-09,8.474441714088465e-11,0.0034935509234326175,0.0034935509234326175,0.0,0.0,0.0,0.0,6.986378258837592e-08,7.876400402461957e-08,0.0,0.0,0.003493550818389175,0.0,0.0034935510801010193,0.0034935510801010193
8,1.0,1.0,0.9917218216671999,0.9922276757552189,0.992070088402992,0.9918062467421352,0.990785180299784,0.9919551372311066,0.9907619957754475,0.9928519793172377,0.9931848843099055,0.9921007114682696,0.991495556252544,0.9919157957142835,0.9918158898814611,0.9931848843099055,0.9933119610365369,0.991243300845648,0.9908416561672241,0.991012323333873,0.9931848843099055,0.9906725531963502,0.9932498009180767,0.9907788522688223,0.9913547117832108,0.9918228010038775,0.9906968315670199,0.990605064931104,0.9908676693585035,0.9907668348424373,0.9931848843099055,0.9918207296231507,0.9909156401302227,0.9926317186647918,0.9907781706557895,0.9931848843099055,0.9893237343305762,0.9878122880327774,0.986057260832131,0.9851433138213924,0.9843760512649238,0.9842391342492706,0.9844487019919798,0.9842326082172744,0.9841415895193686,0.0,0.371943635431429,0.09835335163176913,0.765722661189962,5.04353670924834,3.5179627183378774,2.776646938893682,0.7438925337815385,0.17503553999856078,40.20028752641424,1.0815762697098739,3.6921818272613636,0.5689057013978481,1.2686933129174858,0.5901159977735146,0.0,0.39386744553183817,1.0938078437643355,3.1694641586056207,4.869949152027346,2.602109681413521,0.49176435850736744,3.3436771461454984,0.0,5.215790812156286,1.1797504063438675,1.159323199734944,0.0,5.216114624636098,0.9188430704609812,0.9833954511670687,2.4274507411489425,0.2734897139763315,13.093547009106327,10.676051292156721,9.656534950963831,8.636026704283447,3.7168507608016306,1.237052394390008,4.92718784457306,2.1475019130515736,0.6959433845513862,45.45160211972769,0.18124757464185273,8.75070747161498e-12,0.18124757463310204,-0.181247574633102,0.18124757463310204,0.1477285053829821,0.1812475696941183,0.050000020078376506,0.1,5.023942228237879e-09,8.495846418810752e-11,0.0038817232659270375,0.0038817232659270375,0.0,0.0,0.0,0.0,6.280566505109492e-08,7.09672620580745e-08,0.0,0.0,0.003881723160315886,0.0,0.003881723422334466,0.003881723422334466
9,1.0,1.0,0.9912713501130743,0.9917938283170598,0.9916310620990685,0.9913585496881461,0.9903039274688444,0.9915123332338578,0.9902799810208024,0.9924386486546845,0.9927668144867616,0.9916626915442497,0.991037648833845,0.9914716988186406,0.9913685097344025,0.9927668144867615,0.9929137469670132,0.9907771034412858,0.9903622593287373,0.9905385352091186,0.9927668144867616,0.9901875990490174,0.9928495440500879,0.9902973914768856,0.9908921757278222,0.9913756479802194,0.9902126752909688,0.9901178928858153,0.9903891274035073,0.9902849791162803,0.9927668144867615,0.9913735085267532,0.9904386746608,0.9922111494749324,0.9902966874636896,0.9927668144867616,0.9890073296786719,0.9875268872706975,0.98580786046917,0.984912661006702,0.9841611370998975,0.9840270286260194,0.9842322975622044,0.9840206364607555,0.9839314848048253,0.0,0.38435368212261817,0.10163142620978084,0.7912697962151561,5.211454341879352,3.6351838462112784,2.869222274051387,0.7687129842229177,0.1808757818536634,46.50240092068689,1.1176140440008124,3.815187874903594,0.5878892146675757,1.3110137418115828,0.6097841665712346,0.0,0.4070105327133474,1.1302982105185584,3.27511137920242,5.032124601065954,2.68887856001584,0.5081545687734792,3.455108857438892,0.0,5.389360478950696,1.2190541138745203,1.1979953157933423,0.0,5.389706130706517,0.9494979960121771,1.0161668409626208,2.5084049158123007,0.28261486681488523,12.83010614339753,10.46040177102787,9.461186602259449,8.461018238922358,3.6414605843166235,1.211941670111109,4.827247980133352,2.103913274571316,0.6818145265230035,51.23569510404913,0.2041880878400953,8.753935239200625e-12,0.20418808783134135,-0.20418808783134137,0.20418808783134135,0.1708400923050814,0.20418808242473963,0.05000002520592104,0.1,5.491635114322799e-09,8.503338559033952e-11,0.0037264543293433743,0.0037264543293433743,0.0,0.0,0.0,0.0,6.535005211839021e-08,7.337945616132329e-08,0.0,0.0,0.0037264542254562775,0.0,0.003726454485441087,0.003726454485441087
10,1.0,1.0,0.9909527521259911,0.9916115499017109,0.9914063164172191,0.9910627029060672,0.989732919640467,0.9912566100529766,0.9897027253345875,0.9924246100464704,0.9928841984210298,0.9914461982878382,0.9906580759428225,0.9912053737293204,0.9910752616238659,0.9928841984210298,0.9930236660532267,0.9903295517598368,0.989806470841757,0.990028738789056,0.9928841984210298,0.9895862400208189,0.9929427119892509,0.989724678345554,0.990474647508978,0.9910842623064414,0.9896178588946685,0.9894983468514557,0.9898403490547835,0.9897090274810857,0.9928841984210298,0.9910815646490578,0.9899028236664487,0.9921377541499842,0.9897237906485667,0.9928841984210298,0.98948539299649,0.9881444687947106,0.9865874446043339,0.9857766095335623,0.9850959099065981,0.9849744399342992,0.9851603641437934,0.984968650172362,0.9848879002475951,0.0,0.48491484328923395,0.1281859570902564,0.9982799027614677,6.571265689351319,4.584677239865657,3.6192160485579126,0.9698386320715827,0.228200729138551,44.12931185917692,1.4095179778492999,4.811491250294715,0.7417206944557011,1.6539210107907403,0.7691087576998614,0.0,0.5135153494335539,1.425975335069176,4.130947032683786,6.345523533628494,3.3918619662086043,0.6409257093018241,4.357750439123869,0.0,6.794743268302428,1.5373995711000854,1.5113416133087796,0.0,6.79529446110227,1.1978948828361744,1.2816250572386316,3.1643011743966767,0.3565580008127386,11.619699213610584,9.470026633794749,8.56420008505759,7.657588694536777,3.2953954431347605,1.096685561307846,4.368491880737533,1.9038434210434017,0.6169653309765466,49.128027314502745,0.1958397755196116,8.753886750501774e-12,0.1958397755108577,-0.19583977551085774,0.1958397755108577,0.162084981256369,0.19583977024410784,0.05000003020061094,0.1,5.351738645600925e-09,8.498873021443795e-11,0.003804088797779516,0.003804088797779516,0.0,0.0,0.0,0.0,6.401795606080029e-08,7.189768266141281e-08,0.0,0.0,0.003804088693843478,0.0,0.0038040889538877762,0.0038040889538877762
