load_id,name,bus,p_mw,q_mvar,const_z_percent,const_i_percent,sn_mva,scaling,in_service,type,profile,min_p_mw,subnet,voltLvl,max_p_mw,min_q_mvar,max_q_mvar,controllable
0,LV4.101_Load_1,32,0.0,0.0,0.0,0.0,0.00430108,1.0,True,,H0-B,,LV4.101,7,,,,False
1,LV4.101_Load_30,6,0.0,0.0,0.0,0.0,0.00322581,1.0,True,,H0-A,,LV4.101,7,,,,False
2,LV4.101_Load_18,11,0.0,0.0,0.0,0.0,0.00645161,1.0,True,,H0-G,,LV4.101,7,,,,False
3,LV4.101_Load_20,17,0.0,0.0,0.0,0.0,0.00645161,1.0,True,,H0-A,,LV4.101,7,,,,False
4,LV4.101_Load_4,31,0.0,0.0,0.0,0.0,0.00430108,1.0,True,,H0-A,,LV4.101,7,,,,False
5,LV4.101_Load_16,33,0.0,0.0,0.0,0.0,0.00430108,1.0,True,,H0-L,,LV4.101,7,,,,False
6,LV4.101_Load_22,28,0.0,0.0,0.0,0.0,0.00322581,1.0,True,,H0-A,,LV4.101,7,,,,False
7,LV4.101_Load_6,4,0.0,0.0,0.0,0.0,0.00322581,1.0,True,,H0-B,,LV4.101,7,,,,False
8,LV4.101_Load_19,8,0.0,0.0,0.0,0.0,0.00430108,1.0,True,,H0-G,,LV4.101,7,,,,False
9,LV4.101_Load_25,13,0.0,0.0,0.0,0.0,0.00645161,1.0,True,,H0-L,,LV4.101,7,,,,False
10,LV4.101_Load_27,16,0.0,0.0,0.0,0.0,0.00430108,1.0,True,,H0-L,,LV4.101,7,,,,False
11,LV4.101_Load_23,24,0.0,0.0,0.0,0.0,0.00645161,1.0,True,,H0-L,,LV4.101,7,,,,False
12,LV4.101_Load_29,22,0.0,0.0,0.0,0.0,0.00322581,1.0,True,,H0-B,,LV4.101,7,,,,False
13,LV4.101_Load_31,10,0.0,0.0,0.0,0.0,0.00322581,1.0,True,,H0-B,,LV4.101,7,,,,False
14,LV4.101_Load_33,20,0.0,0.0,0.0,0.0,0.00430108,1.0,True,,H0-A,,LV4.101,7,,,,False
15,HP.101_Load_2,29,0.0,0.0,0.0,0.0,0.00322581,1.0,True,,H0-L,,LV4.101,7,,,,False
16,LV4.101_Load_3,29,0.0,0.0,0.0,0.0,0.00322581,1.0,True,,H0-G,,LV4.101,7,,,,False
17,LV4.101_Load_5,5,0.0,0.0,0.0,0.0,0.00645161,1.0,True,,H0-B,,LV4.101,7,,,,False
18,LV4.101_Load_21,27,0.0,0.0,0.0,0.0,0.00430108,1.0,True,,H0-B,,LV4.101,7,,,,False
19,LV4.101_Load_32,23,0.0,0.0,0.0,0.0,0.00430108,1.0,True,,H0-G,,LV4.101,7,,,,False
20,LV4.101_Load_7,25,0.0,0.0,0.0,0.0,0.00430108,1.0,True,,H0-G,,LV4.101,7,,,,False
21,LV4.101_Load_9,7,0.0,0.0,0.0,0.0,0.00430108,1.0,True,,H0-G,,LV4.101,7,,,,False
22,LV4.101_Load_10,1,0.0,0.0,0.0,0.0,0.00430108,1.0,True,,H0-B,,LV4.101,7,,,,False
23,LV4.101_Load_13,3,0.0,0.0,0.0,0.0,0.00430108,1.0,True,,H0-A,,LV4.101,7,,,,False
24,LV4.101_Load_28,12,0.0,0.0,0.0,0.0,0.00430108,1.0,True,,H0-L,,LV4.101,7,,,,False
25,LV4.101_Load_8,26,0.0,0.0,0.0,0.0,0.00645161,1.0,True,,H0-B,,LV4.101,7,,,,False
26,LV4.101_Load_15,30,0.0,0.0,0.0,0.0,0.00322581,1.0,True,,H0-G,,LV4.101,7,,,,False
27,LV4.101_Load_34,35,0.0,0.0,0.0,0.0,0.0182796,1.0,True,,G4-A,,LV4.101,7,,,,False
28,LV4.101_Load_35,36,0.0,0.0,0.0,0.0,0.011828,1.0,True,,G2-A,,LV4.101,7,,,,False
29,LV4.101_Load_36,37,0.0,0.0,0.0,0.0,0.011828,1.0,True,,G4-A,,LV4.101,7,,,,False
30,LV4.101_Load_37,39,0.0,0.0,0.0,0.0,0.0182796,1.0,True,,G6-A,,LV4.101,7,,,,False
31,LV4.101_Load_38,40,0.0,0.0,0.0,0.0,0.0129032,1.0,True,,G2-A,,LV4.101,7,,,,False
32,LV4.101_Load_39,41,0.0,0.0,0.0,0.0,0.0193548,1.0,True,,G4-B,,LV4.101,7,,,,False
33,LV4.101_Load_40,42,0.0,0.0,0.0,0.0,0.0139785,1.0,True,,G1-A,,LV4.101,7,,,,False
36,LV4.101_Load_41,43,0.0,0.0,0.0,0.0,0.00967742,1.0,True,,G1-C,,LV4.101,7,,,,False
