hx_id,name,from_junction,to_junction,diameter_m,qext_w,loss_coefficient,in_service,type
0,hex_LV4_101_Load_10,86,1,0.15,12000.0,0.0,True,heat_exchanger
1,hex_LV4_101_Load_13,87,5,0.15,12000.0,0.0,True,heat_exchanger
2,hex_LV4_101_Load_6,88,7,0.15,9000.0,0.0,True,heat_exchanger
3,hex_LV4_101_Load_5,89,9,0.15,18000.0,0.0,True,heat_exchanger
4,hex_LV4_101_Load_30,90,11,0.15,9000.0,0.0,True,heat_exchanger
5,hex_LV4_101_Load_9,91,13,0.15,12000.0,0.0,True,heat_exchanger
6,hex_LV4_101_Load_19,92,15,0.15,12000.0,0.0,True,heat_exchanger
7,hex_LV4_101_Load_31,93,19,0.15,9000.0,0.0,True,heat_exchanger
8,hex_LV4_101_Load_18,94,21,0.15,18000.0,0.0,True,heat_exchanger
9,hex_LV4_101_Load_28,95,23,0.15,12000.0,0.0,True,heat_exchanger
10,hex_LV4_101_Load_25,96,25,0.15,18000.0,0.0,True,heat_exchanger
11,hex_LV4_101_Load_27,97,31,0.15,12000.0,0.0,True,heat_exchanger
12,hex_LV4_101_Load_20,98,33,0.15,18000.0,0.0,True,heat_exchanger
13,hex_LV4_101_Load_33,99,39,0.15,12000.0,0.0,True,heat_exchanger
14,hex_Aggregated_Bus_21_2_loads,100,41,0.15,18000.0,0.0,True,heat_exchanger
15,hex_LV4_101_Load_29,101,43,0.15,9000.0,0.0,True,heat_exchanger
16,hex_LV4_101_Load_32,102,45,0.15,12000.0,0.0,True,heat_exchanger
17,hex_LV4_101_Load_23,103,47,0.15,18000.0,0.0,True,heat_exchanger
18,hex_LV4_101_Load_7,104,49,0.15,12000.0,0.0,True,heat_exchanger
19,hex_LV4_101_Load_8,105,51,0.15,18000.0,0.0,True,heat_exchanger
20,hex_LV4_101_Load_21,106,53,0.15,12000.0,0.0,True,heat_exchanger
21,hex_LV4_101_Load_22,107,55,0.15,9000.0,0.0,True,heat_exchanger
22,dummy_hex_HP_101_Load_2,108,57,0.05,1000.0,0.0,True,heat_exchanger
23,hex_LV4_101_Load_15,109,59,0.15,9000.0,0.0,True,heat_exchanger
24,hex_LV4_101_Load_4,110,61,0.15,12000.0,0.0,True,heat_exchanger
25,hex_LV4_101_Load_1,111,63,0.15,12000.0,0.0,True,heat_exchanger
26,hex_LV4_101_Load_16,112,65,0.15,12000.0,0.0,True,heat_exchanger
27,hex_LV4_101_Load_34,113,69,0.15,51000.0,0.0,True,heat_exchanger
28,hex_LV4_101_Load_35,114,71,0.15,33000.0,0.0,True,heat_exchanger
29,hex_LV4_101_Load_36,115,73,0.15,33000.0,0.0,True,heat_exchanger
30,hex_LV4_101_Load_37,116,77,0.15,51000.0,0.0,True,heat_exchanger
31,hex_LV4_101_Load_38,117,79,0.15,36000.0,0.0,True,heat_exchanger
32,hex_LV4_101_Load_39,118,81,0.15,54000.0,0.0,True,heat_exchanger
33,hex_LV4_101_Load_40,119,83,0.15,39000.0,0.0,True,heat_exchanger
34,hex_LV4_101_Load_41,120,85,0.15,27000.0,0.0,True,heat_exchanger
35,central_heat_pump_main_return,29,121,0.3,9000.0,0.0,True,heat_exchanger
