weekday,hour,minute,P_base_MW
0,0,0,0.04790070437675297
0,0,15,0.02878752716429706
0,0,30,0.01927171404182447
0,0,45,0.02896667674585535
0,1,0,0.057328186200885284
0,1,15,0.05195624809481358
0,1,30,0.046334740441417825
0,1,45,0.05658251105803435
0,2,0,0.08041697531400431
0,2,15,0.08015961488396062
0,2,30,0.0849287206104249
0,2,45,0.11920553061227977
0,3,0,0.13004246811015052
0,3,15,0.14159480633946922
0,3,30,0.11884018059280649
0,3,45,0.12482721167196029
0,4,0,0.09439943936766443
0,4,15,0.10901249822909066
0,4,30,0.13216263275010162
0,4,45,0.12387514672463894
0,5,0,0.19132076182070437
0,5,15,0.153533461969616
0,5,30,0.08346256588135502
0,5,45,0.12946196495289755
0,6,0,0.1168765567693812
0,6,15,0.1685475011201292
0,6,30,0.1340633296202557
0,6,45,0.0881986880015224
0,7,0,0.19072730659270046
0,7,15,0.12024489103195335
0,7,30,0.05393521771831555
0,7,45,0.08619335344822097
0,8,0,0.053113391757895624
0,8,15,0.03157187057974309
0,8,30,0.05283459372936448
0,8,45,0.05886102908180559
0,9,0,0.07293688121095489
0,9,15,0.10564851612050838
0,9,30,0.11790484416784155
0,9,45,0.09114893926020887
0,10,0,0.1309560655015368
0,10,15,0.09689320631304156
0,10,30,0.0967716676148125
0,10,45,0.10523229385304082
0,11,0,0.13778105884020925
0,11,15,0.13993314356838837
0,11,30,0.08647438671380518
0,11,45,0.10701114093084411
0,12,0,0.12562796618596805
0,12,15,0.10828991004011011
0,12,30,0.15134222886029455
0,12,45,0.13432682627153938
0,13,0,0.13335415489725855
0,13,15,0.17026992309792058
0,13,30,0.15191014315258478
0,13,45,0.127046384256817
0,14,0,0.17739852402433032
0,14,15,0.18449815115557075
0,14,30,0.11214386007269282
0,14,45,0.14810289856561615
0,15,0,0.08897897730864644
0,15,15,0.08337836742139021
0,15,30,0.14534161286509195
0,15,45,0.11087096183045722
0,16,0,0.09041034494498804
0,16,15,0.10082639042942104
0,16,30,0.1062650842065195
0,16,45,0.09809047772467161
0,17,0,0.1224160360511287
0,17,15,0.11328774200003817
0,17,30,0.082437782983887
0,17,45,0.06474615079473504
0,18,0,0.07122649673863708
0,18,15,0.09420788051401369
0,18,30,0.0775167851095413
0,18,45,0.08456540898510237
0,19,0,0.055079452571741
0,19,15,0.08188066171583906
0,19,30,0.06780757067031595
0,19,45,0.12242751353533815
0,20,0,0.1406310526570141
0,20,15,0.1407589299196127
0,20,30,0.0817085209690924
0,20,45,0.0746568785390139
0,21,0,0.0865486998507268
0,21,15,0.115415637922912
0,21,30,0.07662293030900365
0,21,45,0.09070783797893528
0,22,0,0.09105365028371538
0,22,15,0.08835021294623047
0,22,30,0.07463939986504611
0,22,45,0.12113681778971176
0,23,0,0.11001931527032607
0,23,15,0.1338078101378199
0,23,30,0.150863738883653
0,23,45,0.11989909416837562
1,0,0,0.052693742924626245
1,0,15,0.02910030461361474
1,0,30,0.016595180211758594
1,0,45,0.02154730468311658
1,1,0,0.05375087685170829
1,1,15,0.0515832598815051
1,1,30,0.0511516527477702
1,1,45,0.06627758161606144
1,2,0,0.09128442535641716
1,2,15,0.08303661355690363
1,2,30,0.08327588637241322
1,2,45,0.11453641932654278
1,3,0,0.12130109933529436
1,3,15,0.13365233917536232
1,3,30,0.125655452373591
1,3,45,0.1379893165841003
1,4,0,0.11084129708718736
1,4,15,0.12398216799043825
1,4,30,0.13362834674754218
1,4,45,0.12047464871739172
1,5,0,0.18351591884082327
1,5,15,0.15064533432900906
1,5,30,0.09026052655896927
1,5,45,0.13137836947107528
1,6,0,0.12256723181164403
1,6,15,0.16263485093064406
1,6,30,0.13961829049480493
1,6,45,0.08903860714472535
1,7,0,0.19944582863967694
1,7,15,0.12828554100487993
1,7,30,0.06368578003172992
1,7,45,0.09642822100789017
1,8,0,0.06779654825340924
1,8,15,0.04571325663024927
1,8,30,0.05587764018186759
1,8,45,0.061555712886902245
1,9,0,0.0705582112045444
1,9,15,0.10530804208777181
1,9,30,0.1161534432512782
1,9,45,0.08475201995963583
1,10,0,0.12340879621159062
1,10,15,0.09637025378271485
1,10,30,0.10218717601574025
1,10,45,0.10246184106021917
1,11,0,0.13080005758760385
1,11,15,0.13263895274816867
1,11,30,0.08614888169132633
1,11,45,0.11018940456453243
1,12,0,0.13256058372986043
1,12,15,0.12069262347166577
1,12,30,0.15935658300428235
1,12,45,0.13771207990971918
1,13,0,0.13282197684256644
1,13,15,0.17560776365284939
1,13,30,0.16532370406478403
1,13,45,0.13239693114058818
1,14,0,0.1767231797490777
1,14,15,0.17114536961646923
1,14,30,0.09857267140475243
1,14,45,0.14455684866145568
1,15,0,0.09682902290260578
1,15,15,0.0923323192228077
1,15,30,0.15557018462570069
1,15,45,0.12645978781361908
1,16,0,0.09892423086211338
1,16,15,0.10909606293500705
1,16,30,0.11369934691844859
1,16,45,0.09543873319110706
1,17,0,0.10836977963766815
1,17,15,0.09206412277999339
1,17,30,0.06582564194214796
1,17,45,0.062037316215371785
1,18,0,0.06729881538614203
1,18,15,0.09554982704289276
1,18,30,0.08981546065746505
1,18,45,0.1021202657281577
1,19,0,0.0783938307801705
1,19,15,0.1060868465326653
1,19,30,0.08158951039640658
1,19,45,0.12530492681715086
1,20,0,0.14006174393367565
1,20,15,0.14643940569435832
1,20,30,0.0788137784136414
1,20,45,0.07686156663266414
1,21,0,0.08536934394361202
1,21,15,0.1221222269008499
1,21,30,0.075491896302541
1,21,45,0.09371860168940255
1,22,0,0.0994824454284736
1,22,15,0.09833020802573746
1,22,30,0.0749359822363351
1,22,45,0.11914972348537436
1,23,0,0.10987972942086177
1,23,15,0.13415060279648247
1,23,30,0.15768148244703478
1,23,45,0.13430583157895581
2,0,0,0.05709887232495613
2,0,15,0.03806075771640243
2,0,30,0.02297547686285095
2,0,45,0.027926719938877555
2,1,0,0.05025292634346785
2,1,15,0.04998651800280635
2,1,30,0.052377335800183326
2,1,45,0.07899556019625381
2,2,0,0.10190856013723151
2,2,15,0.1015541939084117
2,2,30,0.11044307861872188
2,2,45,0.1350620408871058
2,3,0,0.1340648518245983
2,3,15,0.13467335621554175
2,3,30,0.1246317442816704
2,3,45,0.1305700902027915
2,4,0,0.09641816649971621
2,4,15,0.10421512076133767
2,4,30,0.11443714293269475
2,4,45,0.1119453050877095
2,5,0,0.1801411415689692
2,5,15,0.14662660455651677
2,5,30,0.09852456303885013
2,5,45,0.13311316280841384
2,6,0,0.12034285132996053
2,6,15,0.151651172981581
2,6,30,0.13707735309090474
2,6,45,0.08796031993509004
2,7,0,0.18788522045584435
2,7,15,0.13587394793735563
2,7,30,0.0771544978446678
2,7,45,0.103949035229139
2,8,0,0.07252509422147124
2,8,15,0.04379577334243794
2,8,30,0.043865630102350235
2,8,45,0.048319658293258634
2,9,0,0.06303106878868146
2,9,15,0.09676168666381396
2,9,30,0.11872122203713685
2,9,45,0.0928456581243609
2,10,0,0.1304337605515341
2,10,15,0.10962921943857809
2,10,30,0.1099982531858629
2,10,45,0.11186300883879689
2,11,0,0.14088749593297115
2,11,15,0.1386297537007317
2,11,30,0.09055874048590071
2,11,45,0.10726627061879772
2,12,0,0.1272417302790051
2,12,15,0.1195045832378368
2,12,30,0.1566932704141615
2,12,45,0.13722702294939004
2,13,0,0.13886059833025569
2,13,15,0.17731755575721414
2,13,30,0.16678080424041034
2,13,45,0.13831627964634088
2,14,0,0.17411070278895485
2,14,15,0.1656101818226019
2,14,30,0.09508561033952971
2,14,45,0.1365011723413388
2,15,0,0.09253206059206397
2,15,15,0.09129355042410152
2,15,30,0.1496831299901747
2,15,45,0.12106415602837611
2,16,0,0.10541081944034336
2,16,15,0.11817616055891662
2,16,30,0.12348319781238176
2,16,45,0.10500153157084494
2,17,0,0.12043590677667289
2,17,15,0.10394509328827
2,17,30,0.073309500464989
2,17,45,0.06836596463942335
