datetime,temperature_K,temperature_mean_K,temperature_std_K
2023-01-01 00:00:00,279.695,279.95,0.32
2023-01-01 00:15:00,279.9,280.14,0.31
2023-01-01 00:30:00,279.86,280.06,0.31
2023-01-01 00:45:00,279.72,279.88,0.34
2023-01-01 01:00:00,279.86,280.03,0.34
2023-01-01 01:15:00,279.22,279.34,0.39
2023-01-01 01:30:00,279.4,279.47,0.49
2023-01-01 01:45:00,278.94,278.97,0.57
2023-01-01 02:00:00,279.38,279.42,0.53
2023-01-01 02:15:00,279.6,279.61,0.52
2023-01-01 02:30:00,279.14,279.1,0.54
2023-01-01 02:45:00,279.49,279.4,0.57
2023-01-01 03:00:00,279.67,279.62,0.52
2023-01-01 03:15:00,279.63,279.68,0.44
2023-01-01 03:30:00,279.5,279.64,0.44
2023-01-01 03:45:00,278.86,279.06,0.5
2023-01-01 04:00:00,278.83,278.98,0.44
2023-01-01 04:15:00,278.94,279.06,0.38
2023-01-01 04:30:00,279.59,279.68,0.35
2023-01-01 04:45:00,279.79,279.87,0.36
2023-01-01 05:00:00,279.76,279.85,0.34
2023-01-01 05:15:00,279.57,279.62,0.3
2023-01-01 05:30:00,279.36,279.37,0.28
2023-01-01 05:45:00,278.71,278.68,0.28
2023-01-01 06:00:00,279.3,279.29,0.26
2023-01-01 06:15:00,279.38,279.37,0.27
2023-01-01 06:30:00,280.17,280.16,0.36
2023-01-01 06:45:00,280.05,280.05,0.45
2023-01-01 07:00:00,280.21,280.21,0.37
2023-01-01 07:15:00,280.15,280.14,0.27
2023-01-01 07:30:00,279.5,279.49,0.26
2023-01-01 07:45:00,279.28,279.26,0.3
2023-01-01 08:00:00,279.83,279.79,0.26
2023-01-01 08:15:00,279.71,279.61,0.21
2023-01-01 08:30:00,280.29,280.13,0.19
2023-01-01 08:45:00,280.03,279.83,0.2
2023-01-01 09:00:00,280.3,280.13,0.19
2023-01-01 09:15:00,280.38,280.27,0.19
2023-01-01 09:30:00,280.33,280.27,0.23
2023-01-01 09:45:00,280.24,280.2,0.28
2023-01-01 10:00:00,280.45,280.41,0.25
2023-01-01 10:15:00,280.03,280.05,0.22
2023-01-01 10:30:00,279.93,280.03,0.23
2023-01-01 10:45:00,280.53,280.68,0.26
2023-01-01 11:00:00,280.2,280.33,0.24
2023-01-01 11:15:00,280.72,280.82,0.24
2023-01-01 11:30:00,280.99,281.07,0.24
2023-01-01 11:45:00,280.54,280.62,0.25
