t,trafo_idx,branch,base_cap,sigmaS_trafo,stdPV,sigma_HP_temp,sigma_hp_resid,k_epsilon,candidate_cap,final_cap_var,final_cap_numeric,fallback_flag,note
0,0,affine_exact,0.4,0.013256325719079039,0.0,0.0024131185540845466,0.012899999999999998,2.3804761428476167,,w_tr_cap_affine_t0_tr0,0.29983861928034755,False,affine tightening path
1,0,affine_exact,0.4,0.013256325719079039,0.0,0.0024131185540845466,0.012899999999999998,2.3804761428476167,,w_tr_cap_affine_t1_tr0,0.27459637668116704,False,affine tightening path
2,0,affine_exact,0.4,0.013267189822299644,0.0,0.002470943361935024,0.012899999999999998,2.3804761428476167,,w_tr_cap_affine_t2_tr0,0.26768889377106014,False,affine tightening path
3,0,affine_exact,0.4,0.01327874506818246,0.0,0.0025310475461996027,0.012899999999999998,2.3804761428476167,,w_tr_cap_affine_t3_tr0,0.2711096679240933,False,affine tightening path
4,0,affine_exact,0.4,0.01327874506818246,0.0,0.0025310475461996027,0.012899999999999998,2.3804761428476167,,w_tr_cap_affine_t4_tr0,0.2926637762047043,False,affine tightening path
5,0,affine_exact,0.4,0.01330392167664018,0.0,0.002657469618229114,0.012899999999999998,2.3804761428476167,,w_tr_cap_affine_t5_tr0,0.29420959268284613,False,affine tightening path
6,0,affine_exact,0.4,0.013354567528915548,0.0,0.0028957587700060073,0.012899999999999998,2.3804761428476167,,w_tr_cap_affine_t6_tr0,0.2940825363945411,False,affine tightening path
7,0,affine_exact,0.4,0.013395831083473864,0.0,0.0030768928219336816,0.012899999999999998,2.3804761428476167,,w_tr_cap_affine_t7_tr0,0.3059230959033443,False,affine tightening path
8,0,affine_exact,0.4,0.013378819860445472,0.0,0.003003475274273302,0.012899999999999998,2.3804761428476167,,w_tr_cap_affine_t8_tr0,0.3227904417635755,False,affine tightening path
9,0,affine_exact,0.4,0.013387241381753318,0.0,0.0030400310854074007,0.012899999999999998,2.3804761428476167,,w_tr_cap_affine_t9_tr0,0.31621083620859075,False,affine tightening path
10,0,affine_exact,0.4,0.013431865146624034,0.0,0.003227188062521829,0.012899999999999998,2.3804761428476167,,w_tr_cap_affine_t10_tr0,0.3174730453460045,False,affine tightening path
11,0,affine_exact,0.4,0.01348065139504822,0.0,0.0034207565815653623,0.012899999999999998,2.3804761428476167,,w_tr_cap_affine_t11_tr0,0.33823939897500493,False,affine tightening path
12,0,affine_exact,0.4,0.01343186514662401,0.0,0.003227188062521729,0.012899999999999998,2.3804761428476167,,w_tr_cap_affine_t12_tr0,0.3377907536641607,False,affine tightening path
13,0,affine_exact,0.4,0.013387241381753318,0.0,0.0030400310854074007,0.012899999999999998,2.3804761428476167,,w_tr_cap_affine_t13_tr0,0.33845516359757377,False,affine tightening path
14,0,affine_exact,0.4,0.013378819860445472,0.0,0.003003475274273302,0.012899999999999998,2.3804761428476167,,w_tr_cap_affine_t14_tr0,0.3369421119819806,False,affine tightening path
15,0,affine_exact,0.4,0.013404588642295582,0.0,0.0031140496199392087,0.012899999999999998,2.3804761428476167,,w_tr_cap_affine_t15_tr0,0.33922753103284614,False,affine tightening path
16,0,affine_exact,0.4,0.013387241381753293,0.0,0.0030400310854072944,0.012899999999999998,2.3804761428476167,,w_tr_cap_affine_t16_tr0,0.3410367785669694,False,affine tightening path
17,0,affine_exact,0.4,0.013378819860445448,0.0,0.003003475274273194,0.012899999999999998,2.3804761428476167,,w_tr_cap_affine_t17_tr0,0.34056920159668147,False,affine tightening path
18,0,affine_exact,0.4,0.013404588642295582,0.0,0.0031140496199392087,0.012899999999999998,2.3804761428476167,,w_tr_cap_affine_t18_tr0,0.3382001227020922,False,affine tightening path
19,0,affine_exact,0.4,0.013450882597751995,0.0,0.0033039083567198407,0.012899999999999998,2.3804761428476167,,w_tr_cap_affine_t19_tr0,0.33913014297466504,False,affine tightening path
20,0,affine_exact,0.4,0.01341351372944137,0.0,0.003151491042914592,0.012899999999999998,2.3804761428476167,,w_tr_cap_affine_t20_tr0,0.3477662543236057,False,affine tightening path
21,0,affine_exact,0.4,0.013370566837338263,0.0,0.002967236695386867,0.012899999999999998,2.3804761428476167,,w_tr_cap_affine_t21_tr0,0.34155789149075494,False,affine tightening path
22,0,affine_exact,0.4,0.013370566837338263,0.0,0.002967236695386867,0.012899999999999998,2.3804761428476167,,w_tr_cap_affine_t22_tr0,0.327640691743874,False,affine tightening path
23,0,affine_exact,0.4,0.013395831083473864,0.0,0.0030768928219336816,0.012899999999999998,2.3804761428476167,,w_tr_cap_affine_t23_tr0,0.35139391798653413,False,affine tightening path
24,0,affine_exact,0.4,0.013362482624638598,0.0,0.002931327114138315,0.012899999999999998,2.3804761428476167,,w_tr_cap_affine_t24_tr0,0.35358612261750266,False,affine tightening path
25,0,affine_exact,0.4,0.01329098965407999,0.0,0.0025932726246506764,0.012899999999999998,2.3804761428476167,,w_tr_cap_affine_t25_tr0,0.3487699891097419,False,affine tightening path
26,0,affine_exact,0.4,0.013267189822299644,0.0,0.002470943361935024,0.012899999999999998,2.3804761428476167,,w_tr_cap_affine_t26_tr0,0.3552969374247414,False,affine tightening path
27,0,affine_exact,0.4,0.013278745068182437,0.0,0.0025310475461994743,0.012899999999999998,2.3804761428476167,,w_tr_cap_affine_t27_tr0,0.33496873804491206,False,affine tightening path
28,0,affine_exact,0.4,0.013267189822299644,0.0,0.002470943361935024,0.012899999999999998,2.3804761428476167,,w_tr_cap_affine_t28_tr0,0.3546433271006645,False,affine tightening path
29,0,affine_exact,0.4,0.013256387052506927,4.03251231569584e-05,0.0024131185540844126,0.012899999999999998,2.3804761428476167,,w_tr_cap_affine_t29_tr0,0.3515157156110781,False,affine tightening path
30,0,affine_exact,0.4,0.013261671269163031,0.0,0.002441735765147926,0.012899999999999998,2.3804761428476167,,w_tr_cap_affine_t30_tr0,0.3145136936113744,False,affine tightening path
31,0,affine_exact,0.4,0.013267189822299644,0.0,0.002470943361935024,0.012899999999999998,2.3804761428476167,,w_tr_cap_affine_t31_tr0,0.33345552434152836,False,affine tightening path
32,0,affine_exact,0.4,0.013262317146669594,0.0001308863915848972,0.002441735765147926,0.012899999999999998,2.3804761428476167,,w_tr_cap_affine_t32_tr0,0.3151365790203083,False,affine tightening path
33,0,affine_exact,0.4,0.013317566330876307,0.0012188716609823906,0.002441735765147926,0.012899999999999998,2.3804761428476167,,w_tr_cap_affine_t33_tr0,0.29665266761681686,False,affine tightening path
34,0,affine_exact,0.4,0.01568788530270347,0.008372061842213556,0.002470943361935024,0.012899999999999998,2.3804761428476167,,w_tr_cap_affine_t34_tr0,0.2917096152106544,False,affine tightening path
35,0,affine_exact,0.4,0.016123604450766302,0.00914579410980761,0.0025310475461994743,0.012899999999999998,2.3804761428476167,,w_tr_cap_affine_t35_tr0,0.2933881215533959,False,affine tightening path
36,0,affine_exact,0.4,0.015331327408028844,0.007683181262422826,0.002470943361935024,0.012899999999999998,2.3804761428476167,,w_tr_cap_affine_t36_tr0,0.29382928154798565,False,affine tightening path
37,0,affine_exact,0.4,0.017186178600186144,0.010950074288495133,0.002357740837253055,0.012899999999999998,2.3804761428476167,,w_tr_cap_affine_t37_tr0,0.30996615005689804,False,affine tightening path
38,0,affine_exact,0.4,0.020258192593198773,0.015318753068471897,0.0024131185540845466,0.012899999999999998,2.3804761428476167,,w_tr_cap_affine_t38_tr0,0.30941882599433085,False,affine tightening path
39,0,affine_exact,0.4,0.022445389504044046,0.018100445730124266,0.0025007206579966386,0.012899999999999998,2.3804761428476167,,w_tr_cap_affine_t39_tr0,0.2868198851420558,False,affine tightening path
40,0,affine_exact,0.4,0.021316578601934207,0.016689056247765913,0.002441735765148058,0.012899999999999998,2.3804761428476167,,w_tr_cap_affine_t40_tr0,0.31585844833574767,False,affine tightening path
41,0,affine_exact,0.4,0.02435651677897635,0.02042958601521851,0.002441735765148058,0.012899999999999998,2.3804761428476167,,w_tr_cap_affine_t41_tr0,0.2862552701818395,False,affine tightening path
42,0,affine_exact,0.4,0.028118736953396305,0.0247858487300418,0.0025310475461996027,0.012899999999999998,2.3804761428476167,,w_tr_cap_affine_t42_tr0,0.2750068540241501,False,affine tightening path
43,0,affine_exact,0.4,0.03172324377230568,0.028801808107823564,0.002625133569670494,0.012899999999999998,2.3804761428476167,,w_tr_cap_affine_t43_tr0,0.27772638354657214,False,affine tightening path
44,0,affine_exact,0.4,0.029748435153721234,0.0266173623718451,0.00256190450900635,0.012899999999999998,2.3804761428476167,,w_tr_cap_affine_t44_tr0,0.2753499712047042,False,affine tightening path
45,0,affine_exact,0.4,0.03139071410228082,0.028449228567224823,0.002470943361935024,0.012899999999999998,2.3804761428476167,,w_tr_cap_affine_t45_tr0,0.2773945204104766,False,affine tightening path
46,0,affine_exact,0.4,0.0353189321192759,0.03273237908043177,0.002470943361935024,0.012899999999999998,2.3804761428476167,,w_tr_cap_affine_t46_tr0,0.2457076154130794,False,affine tightening path
47,0,affine_exact,0.4,0.03868568317855684,0.0363415761647776,0.002441735765148058,0.012899999999999998,2.3804761428476167,,w_tr_cap_affine_t47_tr0,0.25534866374438564,False,affine tightening path
48,0,affine_exact,0.4,0.034567719666400945,0.03192264585029784,0.002441735765148058,0.012899999999999998,2.3804761428476167,,w_tr_cap_affine_t48_tr0,0.2742808080285784,False,affine tightening path
49,0,affine_exact,0.4,0.025398686073754926,0.021664789006654,0.0024131185540845466,0.012899999999999998,2.3804761428476167,,w_tr_cap_affine_t49_tr0,0.2763263659165473,False,affine tightening path
50,0,affine_exact,0.4,0.02218327304284031,0.01777861853779068,0.002470943361935024,0.012899999999999998,2.3804761428476167,,w_tr_cap_affine_t50_tr0,0.28082968949620724,False,affine tightening path
51,0,affine_exact,0.4,0.025097196743356115,0.021296577513510117,0.0025310475461996027,0.012899999999999998,2.3804761428476167,,w_tr_cap_affine_t51_tr0,0.28264737106311316,False,affine tightening path
52,0,affine_exact,0.4,0.022817231981071284,0.018563613589414395,0.002470943361935024,0.012899999999999998,2.3804761428476167,,w_tr_cap_affine_t52_tr0,0.2868105145582831,False,affine tightening path
53,0,affine_exact,0.4,0.020241669054693687,0.015296894931633276,0.0024131185540845466,0.012899999999999998,2.3804761428476167,,w_tr_cap_affine_t53_tr0,0.29026299194225064,False,affine tightening path
54,0,affine_exact,0.4,0.019233513069509066,0.01394040742077253,0.0023851129796475393,0.012899999999999998,2.3804761428476167,,w_tr_cap_affine_t54_tr0,0.2957233563299814,False,affine tightening path
55,0,affine_exact,0.4,0.01870450274288162,0.01320096045447526,0.0023851129796475393,0.012899999999999998,2.3804761428476167,,w_tr_cap_affine_t55_tr0,0.30682934958235564,False,affine tightening path
56,0,affine_exact,0.4,0.018166711609720818,0.012427242042099244,0.0023851129796475393,0.012899999999999998,2.3804761428476167,,w_tr_cap_affine_t56_tr0,0.31638075148157674,False,affine tightening path
57,0,affine_exact,0.4,0.01603326530559346,0.009002625760222172,0.002470943361935024,0.012899999999999998,2.3804761428476167,,w_tr_cap_affine_t57_tr0,0.3300439440538936,False,affine tightening path
58,0,affine_exact,0.4,0.013307986624054328,0.0007855530058291417,0.00256190450900635,0.012899999999999998,2.3804761428476167,,w_tr_cap_affine_t58_tr0,0.3087831219674187,False,affine tightening path
59,0,affine_exact,0.4,0.013297369858631442,0.0,0.002625133569670494,0.012899999999999998,2.3804761428476167,,w_tr_cap_affine_t59_tr0,0.3370656836547571,False,affine tightening path
60,0,affine_exact,0.4,0.013284781310245259,0.0,0.00256190450900635,0.012899999999999998,2.3804761428476167,,w_tr_cap_affine_t60_tr0,0.32233632940801554,False,affine tightening path
61,0,affine_exact,0.4,0.013267189822299644,0.0,0.002470943361935024,0.012899999999999998,2.3804761428476167,,w_tr_cap_affine_t61_tr0,0.3275588125831347,False,affine tightening path
62,0,affine_exact,0.4,0.013284781310245259,0.0,0.00256190450900635,0.012899999999999998,2.3804761428476167,,w_tr_cap_affine_t62_tr0,0.36307299064715826,False,affine tightening path
63,0,affine_exact,0.4,0.013310692162171575,3.548786305777e-05,0.002690263638635216,0.012899999999999998,2.3804761428476167,,w_tr_cap_affine_t63_tr0,0.3638459256656734,False,affine tightening path
64,0,affine_exact,0.4,0.013290989654080014,0.0,0.0025932726246508013,0.012899999999999998,2.3804761428476167,,w_tr_cap_affine_t64_tr0,0.33985530362603616,False,affine tightening path
65,0,affine_exact,0.4,0.013284781310245259,0.0,0.00256190450900635,0.012899999999999998,2.3804761428476167,,w_tr_cap_affine_t65_tr0,0.3414287583302961,False,affine tightening path
66,0,affine_exact,0.4,0.013310644854689475,0.0,0.002690263638635216,0.012899999999999998,2.3804761428476167,,w_tr_cap_affine_t66_tr0,0.35489236378263106,False,affine tightening path
67,0,affine_exact,0.4,0.013331839923562927,0.0,0.0027912309879569333,0.012899999999999998,2.3804761428476167,,w_tr_cap_affine_t67_tr0,0.3326273451177955,False,affine tightening path
68,0,affine_exact,0.4,0.013331839923562927,0.0,0.0027912309879569333,0.012899999999999998,2.3804761428476167,,w_tr_cap_affine_t68_tr0,0.3404497685836085,False,affine tightening path
