file,mode,epsilon,mean_cost_eur,var95_cost_eur,cvar95_cost_eur,trafo_violation_rate_mean,n_trajectories,n_steps
v3_summary_drcc_false.csv,stochastic,,1010.8702557578475,1032.251621174052,1037.0152304290816,,1000,
v3_summary_drcc_true_epsilon_0_05.csv,drcc_true,0.05,978.1707575713903,996.7129887049754,1001.1786369698785,0.08467708333333335,1000,96.0
v3_summary_epsilon_0_05.csv,drcc_true,0.05,978.1707580367871,996.7129878641375,1001.1786367403097,,1000,
v3_summary_drcc_true_epsilon_0_10.csv,drcc_true,0.1,985.8897192151617,1005.0446126904251,1009.4239402156556,0.103125,1000,96.0
v3_summary_epsilon_0_10.csv,drcc_true,0.1,985.8897182214125,1005.0446116399384,1009.4239402070336,,1000,
v3_summary_drcc_true_epsilon_0_15.csv,drcc_true,0.15,987.5078487915642,1006.9047349018715,1010.6537835140838,0.10747916666666665,1000,96.0
v3_summary_epsilon_0_15.csv,drcc_true,0.15,987.5078486385719,1006.9047344547196,1010.653783547776,,1000,
v3_summary_drcc_true_epsilon_0_20.csv,drcc_true,0.2,991.9826101666766,1011.4315649010364,1015.8616881194347,0.11786458333333333,1000,96.0
v3_summary_epsilon_0_20.csv,drcc_true,0.2,991.9826101466692,1011.4315650122065,1015.8616881167497,,1000,
v3_summary_drcc_true_epsilon_0_25.csv,drcc_true,0.25,997.1117276075615,1016.9433163903989,1021.3992647579591,0.13423958333333336,1000,96.0
v3_summary_epsilon_0_25.csv,drcc_true,0.25,997.111727053494,1016.9433124036055,1021.3992642780457,,1000,
v3_summary_drcc_true_epsilon_0_30.csv,drcc_true,0.3,998.6972103183045,1018.527767319572,1023.4848016551955,0.13545833333333335,1000,96.0
v3_summary_epsilon_0_30.csv,drcc_true,0.3,998.6972069969287,1018.527762143149,1023.4847994020536,,1000,
