sample_id,t,trafo_index,loading_pct
s0001,0,0,57.582798
s0001,1,0,51.103275
s0001,2,0,50.654125
s0001,3,0,42.86352
s0001,4,0,50.184418
s0001,5,0,58.671772
s0001,6,0,48.875324
s0001,7,0,53.91886
s0001,8,0,53.724937
s0001,9,0,60.47049
s0001,10,0,61.14564
s0001,11,0,60.521053
s0001,12,0,64.22828
s0001,13,0,62.67005
s0001,14,0,67.12119
s0001,15,0,62.702713
s0001,16,0,61.6877
s0001,17,0,62.965115
s0001,18,0,68.33447
s0001,19,0,66.407295
s0001,20,0,70.89684
s0001,21,0,70.2229
s0001,22,0,65.90322
s0001,23,0,63.96931
s0001,24,0,66.815186
s0001,25,0,67.94234
s0001,26,0,56.316975
s0001,27,0,66.168655
s0001,28,0,65.67395
s0001,29,0,70.37059
s0001,30,0,60.08635
s0001,31,0,55.589626
s0001,32,0,59.367435
s0001,33,0,49.046185
s0001,34,0,54.926422
s0001,35,0,70.02639
s0001,36,0,56.912113
s0001,37,0,65.71764
s0001,38,0,48.517303
s0001,39,0,47.80193
s0001,40,0,60.947575
s0001,41,0,44.73398
s0001,42,0,48.712418
s0001,43,0,73.20126
s0001,44,0,36.473415
s0001,45,0,56.063522
s0001,46,0,12.152341
s0001,47,0,35.729904
s0001,48,0,49.798153
s0001,49,0,70.96458
s0001,50,0,46.01869
s0001,51,0,59.091
s0001,52,0,53.51641
s0001,53,0,52.796234
s0001,54,0,45.124825
s0001,55,0,53.07875
s0001,56,0,61.659294
s0001,57,0,64.758934
s0001,58,0,60.902077
s0001,59,0,68.58726
s0001,60,0,58.71657
s0001,61,0,53.010445
s0001,62,0,68.772285
s0001,63,0,68.20422
s0001,64,0,60.775513
s0001,65,0,61.171947
s0001,66,0,75.61348
s0001,67,0,61.927387
s0001,68,0,63.817413
s0001,69,0,60.461273
s0001,70,0,43.15661
s0001,71,0,60.975124
s0001,72,0,71.95629
s0001,73,0,72.71315
s0001,74,0,73.714035
s0001,75,0,78.24473
s0001,76,0,81.81261
s0001,77,0,78.77619
s0001,78,0,77.72043
s0001,79,0,79.06663
s0001,80,0,80.97039
s0001,81,0,77.15348
s0001,82,0,60.192486
s0001,83,0,54.576393
s0001,84,0,66.98009
s0001,85,0,70.66768
s0001,86,0,60.56117
s0001,87,0,60.00133
s0001,88,0,73.56304
s0001,89,0,67.434
s0001,90,0,59.515083
s0001,91,0,69.096756
s0001,92,0,63.49513
s0001,93,0,75.75422
s0001,94,0,64.62371
s0001,95,0,64.44866
s0002,0,0,50.209312
s0002,1,0,42.884377
s0002,2,0,34.458336
s0002,3,0,35.50048
s0002,4,0,54.84376
s0002,5,0,51.095135
s0002,6,0,58.835495
s0002,7,0,59.723427
s0002,8,0,57.139965
s0002,9,0,54.19276
s0002,10,0,68.383125
s0002,11,0,68.7834
s0002,12,0,59.64899
s0002,13,0,69.65629
s0002,14,0,61.077568
s0002,15,0,64.39537
s0002,16,0,68.04636
s0002,17,0,59.606388
s0002,18,0,62.764378
s0002,19,0,66.580505
s0002,20,0,65.60869
s0002,21,0,56.972977
s0002,22,0,64.71904
s0002,23,0,49.984264
s0002,24,0,58.376427
s0002,25,0,58.832237
s0002,26,0,65.92565
s0002,27,0,58.760155
s0002,28,0,70.625626
s0002,29,0,73.00859
s0002,30,0,60.19012
s0002,31,0,57.890923
s0002,32,0,58.004803
s0002,33,0,53.812637
s0002,34,0,54.718067
s0002,35,0,55.534794
s0002,36,0,54.39009
s0002,37,0,54.95799
s0002,38,0,47.903214
s0002,39,0,62.879257
s0002,40,0,67.941696
s0002,41,0,45.45266
s0002,42,0,41.37152
s0002,43,0,35.904465
s0002,44,0,20.647808
s0002,45,0,46.92258
s0002,46,0,41.370068
s0002,47,0,49.746155
s0002,48,0,48.8295
s0002,49,0,49.87619
s0002,50,0,42.147717
s0002,51,0,47.619858
s0002,52,0,54.66754
s0002,53,0,55.336025
s0002,54,0,41.422062
s0002,55,0,50.941658
s0002,56,0,64.80261
s0002,57,0,58.9104
s0002,58,0,60.290367
s0002,59,0,62.86111
s0002,60,0,60.0469
s0002,61,0,61.64792
s0002,62,0,86.2229
s0002,63,0,68.37519
s0002,64,0,60.06592
s0002,65,0,66.928215
s0002,66,0,70.04895
s0002,67,0,69.01466
s0002,68,0,70.58799
s0002,69,0,71.53882
s0002,70,0,44.298767
s0002,71,0,51.188496
s0002,72,0,60.356647
s0002,73,0,67.50707
s0002,74,0,73.200356
s0002,75,0,79.86041
s0002,76,0,68.84502
s0002,77,0,75.87898
s0002,78,0,62.672565
s0002,79,0,74.37611
s0002,80,0,83.908226
s0002,81,0,71.200455
s0002,82,0,62.439842
s0002,83,0,54.950825
s0002,84,0,67.161194
s0002,85,0,67.47156
s0002,86,0,70.41574
s0002,87,0,58.087605
s0002,88,0,56.56428
s0002,89,0,60.41655
s0002,90,0,59.43059
s0002,91,0,74.40752
s0002,92,0,60.75999
s0002,93,0,66.20139
s0002,94,0,68.49785
s0002,95,0,67.16483
s0003,0,0,57.938866
s0003,1,0,47.07845
s0003,2,0,45.47042
s0003,3,0,47.32443
s0003,4,0,38.93771
s0003,5,0,50.313614
s0003,6,0,58.07944
s0003,7,0,54.12867
s0003,8,0,59.401733
s0003,9,0,61.66737
s0003,10,0,52.648125
s0003,11,0,58.379093
s0003,12,0,79.6062
s0003,13,0,66.03717
s0003,14,0,62.768593
s0003,15,0,68.87848
s0003,16,0,67.72576
s0003,17,0,59.593655
s0003,18,0,64.575264
s0003,19,0,65.6502
