t_idx_evening,epsilon,timestamp,pv_avail_sum_mw,sigma_tr0_comp_pvP_mva,sigma_tr0_comp_hpP_mva,sigma_tr0_comp_hpQ_mva,sigma_tr0_calc_mva,K_pv_bess,K_hp_bess,K_pv_pvcurt,K_hp_pvcurt,bess_power_robust_slack_min_mw
0,0.1,2023-01-10 00:00:00,,0.0,0.0007673893553744,0.0018910483682966,0.0020408209999849,-1.0,0.9421764864712024,0.0,0.0,
1,0.1,2023-01-10 00:15:00,,0.0,0.0007773606501193,0.0018910483682966,0.0020445912822839,-1.0,0.9414251399838602,0.0,0.0,
2,0.1,2023-01-10 00:30:00,,0.0,0.0007711823670629,0.0018925639223097,0.0020436536994553,-1.0,0.9419372130547572,0.0,0.0,
3,0.1,2023-01-10 00:45:00,,0.0,0.0007641873227373,0.0018941759215144,0.0020425192008589,-1.0,0.9425128391024742,0.0,0.0,
4,0.1,2023-01-10 01:00:00,,0.0,0.0007663613801978,0.0018941759215144,0.0020433335965289,-1.0,0.942349292302737,0.0,0.0,
5,0.1,2023-01-10 01:15:00,,0.0,0.0007649621455704,0.0018976882576845,0.0020460664230443,-1.0,0.9425610598574128,0.0,0.0,
6,0.1,2023-01-10 01:30:00,,0.0,0.0007602545574531,0.0019047541960281,0.0020508718973683,-1.0,0.9431263060126908,0.0,0.0,
7,0.1,2023-01-10 01:45:00,,0.0,0.0007541375362415,0.0019105115797308,0.0020539663872259,-1.0,0.9437539242940368,0.0,0.0,
8,0.1,2023-01-10 02:00:00,,0.0,0.0007485880856487,0.0019081380065569,0.0020497255362712,-1.0,0.9440983698758454,0.0,0.0,
9,0.1,2023-01-10 02:15:00,,0.0,0.0007423728810785,0.0019093130518784,0.0020485589629381,-1.0,0.944596614851532,0.0,0.0,
10,0.1,2023-01-10 02:30:00,,0.0,0.0007343612159361,0.0019155396219337,0.0020514820103207,-1.0,0.9453726747647068,0.0,0.0,
11,0.1,2023-01-10 02:45:00,,0.0,0.0007240497945638,0.0019223475131934,0.0020541830654761,-1.0,0.9463304593722236,0.0,0.0,
12,0.1,2023-01-10 03:00:00,,0.0,0.0007645244113117,0.0019155396219337,0.0020624717255491,-1.0,0.943128908824783,0.0,0.0,
13,0.1,2023-01-10 03:15:00,,0.0,0.0007670061399397,0.0019093130518784,0.0020576138483152,-1.0,0.9427582315229724,0.0,0.0,
14,0.1,2023-01-10 03:30:00,,0.0,0.0007627604798248,0.0019081380065569,0.0020549438439163,-1.0,0.943040030914282,0.0,0.0,
15,0.1,2023-01-10 03:45:00,,0.0,0.0007551344789833,0.0019117335459483,0.0020554691026755,-1.0,0.9437155686127796,0.0,0.0,
16,0.1,2023-01-10 04:00:00,,0.0,0.0007572790042113,0.0019093130518784,0.0020540077459183,-1.0,0.9434841689337958,0.0,0.0,
17,0.1,2023-01-10 04:15:00,,0.0,0.00075780290923,0.0019081380065569,0.0020531088381536,-1.0,0.9434102428946955,0.0,0.0,
18,0.1,2023-01-10 04:30:00,,0.0,0.0007556665136055,0.0019117335459483,0.0020556646201384,-1.0,0.9436759130719176,0.0,0.0,
19,0.1,2023-01-10 04:45:00,,0.0,0.0007488225239643,0.0019181933546679,0.0020591748148927,-1.0,0.9443739962608786,0.0,0.0,
20,0.1,2023-01-10 05:00:00,,0.0,0.0007389634640325,0.0019129789056153,0.0020507450583883,-1.0,0.9449567423583054,0.0,0.0,
21,0.1,2023-01-10 05:15:00,,0.0,0.000739420501368,0.0019069864871748,0.0020453215248735,-1.0,0.9447496268239473,0.0,0.0,
22,0.1,2023-01-10 05:30:00,,0.0,0.0007335169673679,0.0019069864871748,0.0020431947052799,-1.0,0.945190745856979,0.0,0.0,
23,0.1,2023-01-10 05:45:00,,0.0,0.0007190918640121,0.0019105115797308,0.0020413592543141,-1.0,0.9463677466257072,0.0,0.0,
24,0.1,2023-01-10 06:00:00,,0.0,0.000748077263853,0.0019058585363751,0.0020474169954769,-1.0,0.9440697014651218,0.0,0.0,
25,0.1,2023-01-10 06:15:00,,0.0,0.0007544741074319,0.0018958841198994,0.0020404920423446,-1.0,0.943294668371639,0.0,0.0,
