sample_id,t,trafo_index,loading_pct
s0001,0,0,52.29761
s0001,1,0,47.117275
s0001,2,0,40.615257
s0001,3,0,55.696987
s0001,4,0,63.82147
s0001,5,0,41.453186
s0001,6,0,41.90277
s0001,7,0,65.67693
s0001,8,0,46.009464
s0001,9,0,60.156235
s0001,10,0,58.799053
s0001,11,0,72.98686
s0001,12,0,62.344868
s0001,13,0,64.688896
s0001,14,0,62.16236
s0001,15,0,74.496376
s0001,16,0,68.22616
s0001,17,0,63.536697
s0001,18,0,78.337585
s0001,19,0,69.05866
s0001,20,0,68.65821
s0001,21,0,68.3173
s0001,22,0,40.10611
s0001,23,0,72.58442
s0001,24,0,51.357162
s0001,25,0,80.211174
s0001,26,0,58.67178
s0001,27,0,58.655365
s0001,28,0,56.471672
s0001,29,0,70.22067
s0001,30,0,62.257885
s0001,31,0,64.31208
s0001,32,0,67.63263
s0001,33,0,43.909996
s0001,34,0,36.02734
s0001,35,0,59.033962
s0001,36,0,54.677143
s0001,37,0,64.922195
s0001,38,0,68.314285
s0001,39,0,42.288563
s0001,40,0,55.13808
s0001,41,0,66.63576
s0001,42,0,46.023693
s0001,43,0,73.63389
s0001,44,0,41.54702
s0001,45,0,86.70897
s0001,46,0,55.01494
s0001,47,0,50.44139
s0001,48,0,72.929115
s0001,49,0,39.385525
s0001,50,0,35.560196
s0001,51,0,41.91271
s0001,52,0,44.98655
s0001,53,0,46.410557
s0001,54,0,53.67838
s0001,55,0,56.95993
s0001,56,0,54.500977
s0001,57,0,56.096714
s0001,58,0,45.91962
s0001,59,0,67.469635
s0001,60,0,75.37058
s0001,61,0,50.01364
s0001,62,0,54.62994
s0001,63,0,80.45008
s0001,64,0,60.22061
s0001,65,0,78.82253
s0001,66,0,58.271038
s0001,67,0,66.760124
s0001,68,0,66.417076
s0001,69,0,66.299065
s0001,70,0,65.15016
s0001,71,0,52.16037
s0001,72,0,64.868866
s0001,73,0,80.61524
s0001,74,0,57.590088
s0001,75,0,90.32315
s0001,76,0,91.74225
s0001,77,0,88.34638
s0001,78,0,104.966835
s0001,79,0,73.01105
s0001,80,0,86.025055
s0001,81,0,74.87251
s0001,82,0,72.97412
s0001,83,0,73.1499
s0001,84,0,70.39457
s0001,85,0,56.73669
s0001,86,0,60.65364
s0001,87,0,72.26076
s0001,88,0,40.992443
s0001,89,0,61.049713
s0001,90,0,67.99407
s0001,91,0,55.06962
s0001,92,0,58.30939
s0001,93,0,76.548004
s0001,94,0,70.795425
s0001,95,0,76.99225
s0002,0,0,56.342308
s0002,1,0,58.548668
s0002,2,0,41.12763
s0002,3,0,46.154694
s0002,4,0,50.278366
s0002,5,0,57.69601
s0002,6,0,66.97227
s0002,7,0,67.424675
s0002,8,0,57.692097
s0002,9,0,46.41612
s0002,10,0,49.116917
s0002,11,0,96.684105
s0002,12,0,52.25321
s0002,13,0,50.738758
s0002,14,0,62.567642
s0002,15,0,51.41163
s0002,16,0,104.55393
s0002,17,0,60.933422
s0002,18,0,57.521217
s0002,19,0,61.87537
s0002,20,0,67.33713
s0002,21,0,73.461105
s0002,22,0,62.27248
s0002,23,0,70.49492
s0002,24,0,82.95607
s0002,25,0,64.95935
s0002,26,0,65.33815
s0002,27,0,76.45106
s0002,28,0,67.474945
s0002,29,0,86.49288
s0002,30,0,43.427967
s0002,31,0,83.42939
s0002,32,0,57.750935
s0002,33,0,63.240143
s0002,34,0,51.06666
s0002,35,0,42.915348
s0002,36,0,61.954044
s0002,37,0,53.823967
s0002,38,0,66.23566
s0002,39,0,9.199367
s0002,40,0,69.9341
s0002,41,0,6.6062303
s0002,42,0,42.850502
s0002,43,0,23.762854
s0002,44,0,55.787163
s0002,45,0,51.20816
s0002,46,0,40.266552
s0002,47,0,22.43915
s0002,48,0,84.69873
s0002,49,0,42.92466
s0002,50,0,41.60464
s0002,51,0,72.281044
s0002,52,0,61.23652
s0002,53,0,51.848763
s0002,54,0,45.241985
s0002,55,0,71.73264
s0002,56,0,46.599384
s0002,57,0,61.16791
s0002,58,0,57.09683
s0002,59,0,58.932865
s0002,60,0,78.09858
s0002,61,0,67.89625
s0002,62,0,57.497375
s0002,63,0,65.70806
s0002,64,0,68.6337
s0002,65,0,69.37834
s0002,66,0,72.26063
s0002,67,0,66.83053
s0002,68,0,42.39487
s0002,69,0,69.637856
s0002,70,0,69.0416
s0002,71,0,60.10387
s0002,72,0,61.823143
s0002,73,0,71.158745
s0002,74,0,70.931114
s0002,75,0,68.3242
s0002,76,0,91.014786
s0002,77,0,64.259415
s0002,78,0,89.3595
s0002,79,0,91.811844
s0002,80,0,82.72123
s0002,81,0,85.32807
s0002,82,0,74.41762
s0002,83,0,52.270226
s0002,84,0,57.471054
s0002,85,0,62.326664
s0002,86,0,59.338707
s0002,87,0,60.698463
s0002,88,0,47.273457
s0002,89,0,50.90855
s0002,90,0,43.681263
s0002,91,0,71.469475
s0002,92,0,80.49921
s0002,93,0,73.94722
s0002,94,0,69.475
s0002,95,0,87.36919
s0003,0,0,52.44061
s0003,1,0,61.15024
s0003,2,0,44.504
s0003,3,0,41.756634
s0003,4,0,49.547184
s0003,5,0,60.40144
s0003,6,0,59.959827
s0003,7,0,49.85598
s0003,8,0,66.17937
s0003,9,0,66.799225
s0003,10,0,54.74743
s0003,11,0,67.33095
s0003,12,0,71.336426
s0003,13,0,66.99803
s0003,14,0,74.213646
s0003,15,0,62.739643
s0003,16,0,44.843132
s0003,17,0,72.61644
s0003,18,0,73.65105
s0003,19,0,47.542187
s0003,20,0,68.07175
s0003,21,0,74.02024
s0003,22,0,49.66711
s0003,23,0,61.609375
s0003,24,0,84.3059
s0003,25,0,79.70401
s0003,26,0,76.36916
s0003,27,0,77.75177
s0003,28,0,68.72036
s0003,29,0,77.46965
s0003,30,0,67.430756
s0003,31,0,75.43952
s0003,32,0,54.639423
s0003,33,0,64.233795
s0003,34,0,71.58099
s0003,35,0,45.439377
s0003,36,0,45.39378
s0003,37,0,45.58385
s0003,38,0,25.696554
s0003,39,0,13.667306
s0003,40,0,62.047295
s0003,41,0,55.637108
s0003,42,0,79.87338
s0003,43,0,82.128426
s0003,44,0,49.650673
s0003,45,0,19.36
s0003,46,0,40.60126
s0003,47,0,16.354982
s0003,48,0,52.472584
s0003,49,0,50.78405
s0003,50,0,71.20954
s0003,51,0,51.021767
s0003,52,0,81.91916
s0003,53,0,66.702034
s0003,54,0,61.406326
s0003,55,0,62.99049
s0003,56,0,47.936337
s0003,57,0,62.690186
s0003,58,0,57.74088
s0003,59,0,69.774445
s0003,60,0,61.63116
s0003,61,0,54.65346
s0003,62,0,74.0682
s0003,63,0,68.24073
s0003,64,0,80.226105
s0003,65,0,80.43138
s0003,66,0,77.00744
s0003,67,0,70.167015
s0003,68,0,47.48847
s0003,69,0,58.89717
s0003,70,0,43.794838
s0003,71,0,53.08876
s0003,72,0,66.82171
s0003,73,0,74.96155
s0003,74,0,66.7445
s0003,75,0,96.34412
s0003,76,0,62.6638
s0003,77,0,87.948265
s0003,78,0,66.02453
s0003,79,0,86.01353
s0003,80,0,78.35344
s0003,81,0,78.64121
s0003,82,0,48.06194
s0003,83,0,57.863136
s0003,84,0,78.469894
s0003,85,0,71.26949
s0003,86,0,71.72414
s0003,87,0,68.31338
s0003,88,0,53.029137
s0003,89,0,65.90426
s0003,90,0,54.401356
s0003,91,0,65.197365
s0003,92,0,61.30207
s0003,93,0,72.11023
s0003,94,0,60.923553
s0003,95,0,69.87028
s0004,0,0,49.06451
s0004,1,0,48.75785
s0004,2,0,40.797184
s0004,3,0,48.54289
s0004,4,0,50.800343
s0004,5,0,64.67302
s0004,6,0,43.30572
s0004,7,0,51.340088
s0004,8,0,70.48414
s0004,9,0,48.119507
s0004,10,0,53.403904
s0004,11,0,64.103645
s0004,12,0,46.76764
s0004,13,0,40.42971
s0004,14,0,65.73212
s0004,15,0,57.455902
s0004,16,0,57.81786
s0004,17,0,49.404682
s0004,18,0,79.0401
s0004,19,0,57.894672
s0004,20,0,70.26546
s0004,21,0,58.95734
s0004,22,0,65.05495
s0004,23,0,53.15849
s0004,24,0,68.24714
s0004,25,0,80.80913
s0004,26,0,78.50893
s0004,27,0,62.849606
s0004,28,0,69.08708
s0004,29,0,68.49897
s0004,30,0,51.528294
s0004,31,0,56.163383
s0004,32,0,64.23931
s0004,33,0,38.43196
s0004,34,0,49.070778
s0004,35,0,54.977673
s0004,36,0,50.317307
s0004,37,0,67.34466
s0004,38,0,52.223175
s0004,39,0,57.806355
