sample_id,n_steps,steps_trafo_over_80pct,violation_rate,bess_clip_power_steps,bess_clip_energy_steps,bess_clip_both_steps,clip_power_rate,clip_energy_rate,clip_both_rate,bess_clip_total_energy_mwh,bess_clip_avg_abs_mw,bess_headroom_charge_avg_mw,bess_headroom_discharge_avg_mw
s0001,96,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0500501535437307,0.0499498464562692
s0002,96,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0493775936292644,0.0506224063707355
s0003,96,1,0.010416666666666666,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0498274775629246,0.0501725224370754
s0004,96,1,0.010416666666666666,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0504478288892698,0.0495521711107301
s0005,96,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0494087881821769,0.050591211817823
s0006,96,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0494615382096826,0.0505384617903173
s0007,96,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0492073335440402,0.0507926664559597
s0008,96,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0498767349293913,0.0501232650706086
s0009,96,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0492767996714789,0.050723200328521
s0010,96,2,0.020833333333333332,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0501514179643496,0.0498485820356503
s0011,96,1,0.010416666666666666,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0503240483053856,0.0496759516946143
s0012,96,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0503457448065164,0.0496542551934835
s0013,96,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0495941951021196,0.0504058048978804
s0014,96,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0492314847697738,0.0507685152302261
s0015,96,1,0.010416666666666666,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0498195100078312,0.0501804899921687
s0016,96,1,0.010416666666666666,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0499411911970533,0.0500588088029466
s0017,96,1,0.010416666666666666,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0505834217978322,0.0494165782021677
s0018,96,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0499765042152307,0.0500234957847693
s0019,96,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0502317950267905,0.0497682049732094
s0020,96,1,0.010416666666666666,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0501943019851188,0.0498056980148811
s0021,96,1,0.010416666666666666,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0500858890151716,0.0499141109848284
s0022,96,1,0.010416666666666666,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0505220806303467,0.0494779193696532
s0023,96,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0498025781375411,0.0501974218624588
s0024,96,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0494144930765574,0.0505855069234425
s0025,96,1,0.010416666666666666,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0503656612964206,0.0496343387035794
s0026,96,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0498647699653578,0.0501352300346421
s0027,96,1,0.010416666666666666,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0498368471064286,0.0501631528935713
s0028,96,1,0.010416666666666666,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0498734608501445,0.0501265391498554
s0029,96,1,0.010416666666666666,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0501064115430273,0.0498935884569727
s0030,96,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0497921277977712,0.0502078722022287
s0031,96,1,0.010416666666666666,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0501693490580868,0.0498306509419132
s0032,96,1,0.010416666666666666,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0500737708356133,0.0499262291643866
s0033,96,1,0.010416666666666666,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0506296345909623,0.0493703654090376
