t_idx_evening,epsilon,timestamp,pv_avail_sum_mw,sigma_tr0_comp_pvP_mva,sigma_tr0_comp_hpP_mva,sigma_tr0_comp_hpQ_mva,sigma_tr0_calc_mva,K_pv_bess,K_hp_bess,K_pv_pvcurt,K_hp_pvcurt,bess_power_robust_slack_min_mw
0,0.1,2023-01-10 00:00:00,,0.0,0.0128973618607759,0.001870034869795,0.0130322282585153,-1.0,0.0172511962000067,0.0,0.0,
1,0.1,2023-01-10 00:15:00,,0.0,0.0130978208585194,0.001870034869795,0.0132306440378432,-1.0,0.0019766894931312,0.0,0.0,
2,0.1,2023-01-10 00:30:00,,0.0,0.0132125223089123,0.0018715674401529,0.0133444187002112,-1.0,-0.0059388844940204,0.0,0.0,
3,0.1,2023-01-10 00:45:00,,0.0,0.0132483236307221,0.0018731975081814,0.0133800952137497,-1.0,-0.0077868814277364,0.0,0.0,
4,0.1,2023-01-10 01:00:00,,0.0,0.0131142327283126,0.0018731975081814,0.0132473381838391,-1.0,0.002413280957622,0.0,0.0,
5,0.1,2023-01-10 01:15:00,,0.0,0.0131293494191762,0.0018767491058651,0.0132628052604714,-1.0,0.0031533984775937,0.0,0.0,
6,0.1,2023-01-10 01:30:00,,0.0,0.0131513837724494,0.0018838935825303,0.0132856294604563,-1.0,0.0052672238158205,0.0,0.0,
7,0.1,2023-01-10 01:45:00,,0.0,0.0129809533008954,0.0018897145232276,0.013117780665163,-1.0,0.0211824888203755,0.0,0.0,
8,0.1,2023-01-10 02:00:00,,0.0,0.0125812987149943,0.0018873147949081,0.012722068797605,-1.0,0.0501118429757259,0.0,0.0,
9,0.1,2023-01-10 02:15:00,,0.0,0.0127255378845945,0.0018885027966845,0.0128649040907943,-1.0,0.0398261819027468,0.0,0.0,
10,0.1,2023-01-10 02:30:00,,0.0,0.0127083549899455,0.001894797753379,0.0128488343859155,-1.0,0.0443082869029089,0.0,0.0,
11,0.1,2023-01-10 02:45:00,,0.0,0.0117565759902001,0.0019016799006385,0.0119093856037094,-1.0,0.1190834229722368,0.0,0.0,
12,0.1,2023-01-10 03:00:00,,0.0,0.0122135936756821,0.001894797753379,0.0123596977714211,-1.0,0.0815152494387066,0.0,0.0,
13,0.1,2023-01-10 03:15:00,,0.0,0.0122751095740142,0.0018885027966845,0.0124195313062588,-1.0,0.0738121300544953,0.0,0.0,
