timestamp,K_pv_bess,K_hp_bess,K_pv_pvcurt,K_hp_pvcurt,lambda0_mw,lambda_plus,lambda_minus,chi0_mw,chi_minus
2023-01-10 00:00:00,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-10 00:15:00,-1.0,-1.0,0.0,0.0,-3.4042491338544976e-10,0.0,0.0,0.0,0.0
2023-01-10 00:30:00,-1.0,-1.0,0.0,0.0,-3.4042491338544976e-10,0.0,0.0,0.0,0.0
2023-01-10 00:45:00,-1.0,-1.0,0.0,0.0,-3.2016514568247563e-10,0.0,0.0,0.0,0.0
2023-01-10 01:00:00,-1.0,-1.0,0.0,0.0,-3.2450840645287567e-10,0.0,0.0,0.0,0.0
2023-01-10 01:15:00,-1.0,-1.0,0.0,0.0,-3.163274194365899e-10,0.0,0.0,0.0,0.0
2023-01-10 01:30:00,-1.0,-1.0,0.0,0.0,-3.1055265709726833e-10,0.0,0.0,0.0,0.0
2023-01-10 01:45:00,-1.0,-1.0,0.0,0.0,-3.0606645955979423e-10,0.0,0.0,0.0,0.0
2023-01-10 02:00:00,-1.0,-1.0,0.0,0.0,-3.0223197188763106e-10,0.0,0.0,0.0,0.0
2023-01-10 02:15:00,-1.0,-1.0,0.0,0.0,-2.987680034230193e-10,0.0,0.0,0.0,0.0
2023-01-10 02:30:00,-1.0,-1.0,0.0,0.0,-2.9574821971278e-10,0.0,0.0,0.0,0.0
2023-01-10 02:45:00,-1.0,-1.0,0.0,0.0,-2.930250170006653e-10,0.0,0.0,0.0,0.0
2023-01-10 03:00:00,-1.0,-1.0,0.0,0.0,-2.905026484777629e-10,0.0,0.0,0.0,0.0
2023-01-10 03:15:00,-1.0,-1.0,0.0,0.0,-2.8811737498318965e-10,0.0,0.0,0.0,0.0
2023-01-10 03:30:00,-1.0,-1.0,0.0,0.0,-2.8582617885271163e-10,0.0,0.0,0.0,0.0
2023-01-10 03:45:00,-1.0,-1.0,0.0,0.0,-2.835994532664733e-10,0.0,0.0,0.0,0.0
2023-01-10 04:00:00,-1.0,-1.0,0.0,0.0,-2.81416344799162e-10,0.0,0.0,0.0,0.0
2023-01-10 04:15:00,-1.0,-1.0,0.0,0.0,-2.7926173904463004e-10,0.0,0.0,0.0,0.0
2023-01-10 04:30:00,-1.0,-1.0,0.0,0.0,-2.7712429353291135e-10,0.0,0.0,0.0,0.0
