sample_id,t,trafo_index,loading_pct
s0001,0,0,56.6073
s0001,1,0,49.852222
s0001,2,0,48.424587
s0001,3,0,45.013336
s0001,4,0,51.71623
s0001,5,0,56.14169
s0001,6,0,51.613518
s0001,7,0,55.425774
s0001,8,0,57.83434
s0001,9,0,60.2311
s0001,10,0,60.83019
s0001,11,0,63.525734
s0001,12,0,65.07865
s0001,13,0,64.29704
s0001,14,0,66.089775
s0001,15,0,64.3615
s0001,16,0,64.07922
s0001,17,0,64.66282
s0001,18,0,66.8228
s0001,19,0,66.11689
s0001,20,0,69.64808
s0001,21,0,68.297874
s0001,22,0,64.532585
s0001,23,0,67.43245
s0001,24,0,68.95286
s0001,25,0,68.49008
s0001,26,0,64.40669
s0001,27,0,65.93132
s0001,28,0,68.33319
s0001,29,0,69.88508
s0001,30,0,59.8645
s0001,31,0,60.31384
s0001,32,0,59.48559
s0001,33,0,52.165077
s0001,34,0,54.55622
s0001,35,0,62.63763
s0001,36,0,55.837635
s0001,37,0,62.3667
s0001,38,0,53.60211
s0001,39,0,50.50534
s0001,40,0,61.10652
s0001,41,0,48.858566
s0001,42,0,46.52953
s0001,43,0,63.08572
s0001,44,0,43.52089
s0001,45,0,53.856495
s0001,46,0,26.537687
s0001,47,0,40.875603
s0001,48,0,51.164005
s0001,49,0,60.774033
s0001,50,0,48.079247
s0001,51,0,55.054756
s0001,52,0,52.941803
s0001,53,0,52.758953
s0001,54,0,49.428898
s0001,55,0,54.951977
s0001,56,0,61.111553
s0001,57,0,64.45019
s0001,58,0,59.5854
s0001,59,0,66.81018
s0001,60,0,60.380665
s0001,61,0,58.1108
s0001,62,0,71.085754
s0001,63,0,71.06
s0001,64,0,63.545654
s0001,65,0,63.971706
s0001,66,0,73.10917
s0001,67,0,63.54429
s0001,68,0,65.25806
s0001,69,0,63.319813
s0001,70,0,51.31768
s0001,71,0,61.370922
s0001,72,0,67.53509
s0001,73,0,72.57027
s0001,74,0,76.52632
s0001,75,0,79.44354
s0001,76,0,79.93071
s0001,77,0,79.56489
s0001,78,0,77.94719
s0001,79,0,79.36577
s0001,80,0,79.492744
s0001,81,0,78.50936
s0001,82,0,64.008385
s0001,83,0,61.335117
s0001,84,0,68.5431
s0001,85,0,71.59202
s0001,86,0,63.60486
s0001,87,0,61.182964
s0001,88,0,67.99764
s0001,89,0,65.549484
