case,t,n_samples,n_violations,violation_probability
0.15 (RT ON),0,200,0,0.0
0.15 (RT ON),1,200,0,0.0
0.15 (RT ON),2,200,0,0.0
0.15 (RT ON),3,200,0,0.0
0.15 (RT ON),4,200,0,0.0
0.15 (RT ON),5,200,0,0.0
0.15 (RT ON),6,200,0,0.0
0.15 (RT ON),7,200,0,0.0
0.15 (RT ON),8,200,0,0.0
0.15 (RT ON),9,200,0,0.0
0.15 (RT ON),10,200,0,0.0
0.15 (RT ON),11,200,0,0.0
0.15 (RT ON),12,200,0,0.0
0.15 (RT ON),13,200,0,0.0
0.15 (RT ON),14,200,0,0.0
0.15 (RT ON),15,200,0,0.0
0.15 (RT ON),16,200,1,0.005
0.15 (RT ON),17,200,0,0.0
0.15 (RT ON),18,200,0,0.0
0.15 (RT ON),19,200,0,0.0
0.15 (RT ON),20,200,1,0.005
0.15 (RT ON),21,200,1,0.005
0.15 (RT ON),22,200,0,0.0
0.15 (RT ON),23,200,0,0.0
0.15 (RT ON),24,200,1,0.005
0.15 (RT ON),25,200,1,0.005
0.15 (RT ON),26,200,2,0.01
0.15 (RT ON),27,200,0,0.0
0.15 (RT ON),28,200,1,0.005
0.15 (RT ON),29,200,0,0.0
0.15 (RT ON),30,200,0,0.0
0.15 (RT ON),31,200,0,0.0
0.15 (RT ON),32,200,0,0.0
0.15 (RT ON),33,200,0,0.0
0.15 (RT ON),34,200,0,0.0
0.15 (RT ON),35,200,0,0.0
0.15 (RT ON),36,200,0,0.0
0.15 (RT ON),37,200,1,0.005
0.15 (RT ON),38,200,0,0.0
0.15 (RT ON),39,200,0,0.0
0.15 (RT ON),40,200,0,0.0
0.15 (RT ON),41,200,0,0.0
0.15 (RT ON),42,200,0,0.0
0.15 (RT ON),43,200,0,0.0
0.15 (RT ON),44,200,0,0.0
0.15 (RT ON),45,200,0,0.0
0.15 (RT ON),46,200,0,0.0
0.15 (RT ON),47,200,0,0.0
0.15 (RT ON),48,200,0,0.0
0.15 (RT ON),49,200,0,0.0
0.15 (RT ON),50,200,0,0.0
0.15 (RT ON),51,200,0,0.0
0.15 (RT ON),52,200,0,0.0
0.15 (RT ON),53,200,1,0.005
0.15 (RT ON),54,200,0,0.0
0.15 (RT ON),55,200,0,0.0
0.15 (RT ON),56,200,1,0.005
0.15 (RT ON),57,200,2,0.01
0.15 (RT ON),58,200,0,0.0
0.15 (RT ON),59,200,0,0.0
0.15 (RT ON),60,200,0,0.0
0.15 (RT ON),61,200,0,0.0
0.15 (RT ON),62,200,3,0.015
0.15 (RT ON),63,200,4,0.02
0.15 (RT ON),64,200,0,0.0
0.15 (RT ON),65,200,0,0.0
0.15 (RT ON),66,200,0,0.0
0.15 (RT ON),67,200,0,0.0
0.15 (RT ON),68,200,0,0.0
0.15 (RT ON),69,200,0,0.0
