case,t,n_samples,n_violations,violation_probability
0.15 (RT ON),0,100,0,0.0
0.15 (RT ON),1,100,0,0.0
0.15 (RT ON),2,100,0,0.0
0.15 (RT ON),3,100,0,0.0
0.15 (RT ON),4,100,0,0.0
0.15 (RT ON),5,100,0,0.0
0.15 (RT ON),6,100,0,0.0
0.15 (RT ON),7,100,0,0.0
0.15 (RT ON),8,100,0,0.0
0.15 (RT ON),9,100,0,0.0
0.15 (RT ON),10,100,0,0.0
0.15 (RT ON),11,100,0,0.0
0.15 (RT ON),12,100,0,0.0
0.15 (RT ON),13,100,0,0.0
0.15 (RT ON),14,100,0,0.0
0.15 (RT ON),15,100,0,0.0
0.15 (RT ON),16,100,1,0.01
0.15 (RT ON),17,100,0,0.0
0.15 (RT ON),18,100,0,0.0
0.15 (RT ON),19,100,0,0.0
0.15 (RT ON),20,100,1,0.01
0.15 (RT ON),21,100,1,0.01
0.15 (RT ON),22,100,0,0.0
0.15 (RT ON),23,100,0,0.0
0.15 (RT ON),24,100,1,0.01
0.15 (RT ON),25,100,1,0.01
0.15 (RT ON),26,100,2,0.02
0.15 (RT ON),27,100,0,0.0
0.15 (RT ON),28,100,1,0.01
0.15 (RT ON),29,100,0,0.0
0.15 (RT ON),30,100,0,0.0
0.15 (RT ON),31,100,0,0.0
0.15 (RT ON),32,100,0,0.0
0.15 (RT ON),33,100,0,0.0
0.15 (RT ON),34,100,0,0.0
0.15 (RT ON),35,100,0,0.0
0.15 (RT ON),36,100,0,0.0
0.15 (RT ON),37,100,1,0.01
0.15 (RT ON),38,100,0,0.0
0.15 (RT ON),39,100,0,0.0
0.15 (RT ON),40,100,0,0.0
0.15 (RT ON),41,100,0,0.0
0.15 (RT ON),42,100,0,0.0
0.15 (RT ON),43,100,0,0.0
0.15 (RT ON),44,100,0,0.0
0.15 (RT ON),45,100,0,0.0
0.15 (RT ON),46,100,0,0.0
0.15 (RT ON),47,100,0,0.0
0.15 (RT ON),48,100,0,0.0
0.15 (RT ON),49,100,0,0.0
0.15 (RT ON),50,100,0,0.0
0.15 (RT ON),51,100,0,0.0
0.15 (RT ON),52,100,0,0.0
